address,name,kind,comment
0x41D334,zwgru_kfzw_lookup,func,"VERIFIED-STATIC (B7, issue #15). %ZWGRU base map lookup: axis_search_u16_hint(0x5C7736=nmot block, nmot_w@0x7FEE74, hint@0x7FD5EC), same for the rl block 0x5C7758 with rl_w@0x7FEFB2 and hint@0x7FD5F0, then interp_2d_s8(KFZW=0x5C75FE, nx=12). Returns KFZW in s8, 0.75 deg CA per LSB. See re/findings/ignition.md section 2."
0x41D280,zwgru_dzw_kg,func,"VERIFIED-STATIC (B7, issue #15). Delta map 0x5C753E (16x12 s8) on the KFZW axis keys, weighted by ((0x800EC0>>1)-(0x800020>>1)) in 1.15 fixed point and clamped above by the s8 scalar 0x5C753D. re/findings/ignition.md section 3."
0x41D38C,zwgru_build,func,"VERIFIED-STATIC (B7, issue #15). zwgru = KFZW + dzw_kg + (0x800006-0x800007 when 0x5C753C bit7 clear) + 0x800004 + 0x7FD313 + 0x7FD337, saturated to s8, stored to zwgru@0x7FD315. THE INSERTION POINT for an additive ethanol ignition offset is the word at 0x41D40C (add r3,r3,r10), before the clamp at 0x41D410: knock retard and every limit still act on top. re/findings/ignition.md section 11."
0x41D10C,zwbas_per_bank,func,"VERIFIED-STATIC (B7, issue #15). Critical section; two banks (i=1 then 0). zwgru + bank offset (0x7FD318/0x7FD319) + 0x7FD338 + 0x7FD31A + 0x80208E, then + 0x7FD347 + knock retard dwkrz[0x7FCE57][cyl] + the s8 calibration offset 0x5C753A. Writes 0x7FD30C (bank 1) and 0x7FD30B (bank 0); 0x7FD30A = copy of bank 0 for the torque model. re/findings/ignition.md section 4."
0x41D440,zwmin_select,func,"VERIFIED-STATIC (B7, issue #15). zwmin@0x7FD32A = 0x7FD32B, or 0x7FD32C when 0x7FD306 & 0x40. Entry point of the ZWSEL/ZWOUT block at 0x41D464."
0x41D464,zwout_select,func,"VERIFIED-STATIC (B7, issue #15). %ZWSEL/%ZWOUT: per bank picks between the bank angle 0x7FD30B[i], zwmin 0x7FD32A and 0x7FCEED, adds 0x7FD317 for the second bank, clamps to -0x48..+0x4E (-54..+58.5 deg) and stores 0x7FD32E[bank]. Exports 0x7FEF85 and the tester bytes 0x7FEF87/0x7FEF88 (measuring var id 9 = VCDS group 003 field 4) with inverted copies 0x7FD334/0x7FD335."
0x41CD9C,zw_output_driver,func,"VERIFIED-STATIC (B7, issue #15). FUN_004741f0((short)(0x7FD32E[cyl] * 0xF >> 1), dwell 0x802080, cyl). The *15/2 converts the 0.75 deg/LSB ignition angle into 0.1 deg units - the independent proof of the fixed-point format."
0x416D6C,krreg_knock_retard,func,"VERIFIED-STATIC (B7, issue #15). %KRREG stationary knock control, 6 cylinders (literal `while (i < 6)`). Internal per-cylinder retard 0x7FCE78[6] clamped <= 0, exported per-cylinder retard dwkrz 0x7FCE57[6], means 0x7FCE74/0x7FCE76/0x7FCE77, per-cylinder calibration offsets 0x5C83F8[6], 16x4 s8 map 0x5C8416. re/findings/ignition.md section 5."
0x416374,krke_knock_detect,func,"VERIFIED-STATIC (B7, issue #15). %KRKE knock detection, entered per knock window from the callback 0x417BCC. Per-cylinder reference levels 0x7FCE4D[6], 0x7FEE2A[6], 0x7FEE38[6]; reseed scalars 0x5C83F0/0x5C83DE; integration window 0x7FCE4B from 0x5C83EA..0x5C83ED. Only caller of krreg_knock_retard."
0x417BCC,krke_window_callback,func,"VERIFIED-STATIC (B7, issue #15). if (r4 == 1 && r5 == 1) krke_knock_detect(r6 & 0xFF). Registered through the data word at 0x072574; no bl reaches it."
0x4163E0,krke_reference_maps,func,"VERIFIED-STATIC (B7, issue #15). Reads the three 8x4 s16 knock reference/threshold maps 0x5C82BE, 0x5C831A and 0x5C8376."
0x0F436C,zwgru_low_octane_detect,func,"VERIFIED-STATIC (B7, issue #15). FR %ZWGRU low-octane-fuel branch (p3090). Compares the mean knock retard 0x7FCE76 with KFSWKFZK 0x5D5A3E and KFSWKFZKR 0x5D5AFE, debounces with 0x5D5BBE/0x5D5BBF into 0x7FD31B bits 0/1 and the latch 0x7F9424 bit 0, then sets 0x80208E = KFDZK 0x5D597E or 0. 0x80208E is added by zwbas_per_bank. re/findings/ignition.md section 13.2."
0x436B90,kfzwop_lookup,func,"VERIFIED-STATIC (B7, issue #15). 0x802666 = lookup_2d_g_u8_u8_s8(ny=16@0x5CA3D4, nmot axis 0x5CA3D6, nx=11@0x5CA3D5, rl axis 0x5CA3E6, KFZWOP 0x5CA3F1, nmot8, rl8). Called from task_100ms_int."
0x423344,zwopt_build,func,"VERIFIED-STATIC (B7, issue #15). zwopt@0x802665 = 0x802663/0x802664 + the tester bytes at 0x800004..0x800007 + 0x802622 + 0x802623 + KFZWOP result 0x802666, saturated to s8. Call #6 of the ignition task 41, immediately before zwgru_build."
0x43621C,zwopt_delta_maps,func,"VERIFIED-STATIC (B7, issue #15). Reads the two 16x11 s8 KFZWOP delta maps 0x5C9E25 (axis block 0x5C9E08) and 0x5C9EF2 (axis block 0x5C9ED5); both all zeros in this dataset. Also a 1-D curve at 0x5C9FA2."
0x423250,mdbas_etazwb,func,"VERIFIED-STATIC (B7, issue #15). 0x80262E = FUN_0043619C(zwopt 0x802665, zwbas 0x7FD30A) - the ignition efficiency etazwb of the torque model."
0x4224BC,task41_ignition,func,"VERIFIED-STATIC (B7, issue #15). ERCOSEK task id 41, TCB entry 6 at 0x47870C (prio 0x0A, flag 0x7FE642) - see re/findings/scheduler.md section 4. 42 straight-line bl's: the whole ignition module chain, incl. zwopt_build (0x4224DC), zwgru_build (0x4224E0), zwbas_per_bank (0x4224F4), zwmin_select/zwout_select (0x422500, 0x422560) and the output scheduler 0x41CC0C (0x422568). Period not established; segment-synchronous is a HYPOTHESIS."
0x5C75FE,KFZW,table,"VERIFIED-STATIC (B7, issue #15). Base ignition map, 16 rows nmot x 12 cols rl, s8, 0.75 deg CA per LSB. Axis blocks 0x5C7736 (nmot, u16, 0.25 rpm/LSB) and 0x5C7758 (rl, u16, 100%/4096 per LSB). Read only by zwgru_kfzw_lookup. No KFZW2/KFZWLB blend exists in this dataset."
0x5C7736,SNM16ZUUW,table,"VERIFIED-STATIC (B7, issue #15). KFZW nmot axis block {u16 n=16; u16 bp[16]} at 0x5C7738: 520..6520 rpm at 0.25 rpm/LSB."
0x5C7758,SRL12ZUUW,table,"VERIFIED-STATIC (B7, issue #15). KFZW rl axis block {u16 n=12; u16 bp[12]} at 0x5C775A: 10.2..103.9 % at 100%/4096 per LSB."
0x5C753E,cand_KFDZWKG,table,"HYPOTHESIS (B7, issue #15). 16x12 s8 delta ignition map on the KFZW axes, read by zwgru_dzw_kg; zero except a -50..-10 deg island at 2000-3000 rpm / 41-73 % load. Shape of a KFDZWKG knock-limit shift."
0x5C753A,cand_DZW_BANK_OFFSET,var,"VERIFIED-STATIC address, HYPOTHESIS name (B7, issue #15). s8 calibration offset added to EVERY bank's final ignition angle in zwbas_per_bank, after the knock retard."
0x5C753C,cand_CWZWGRU,var,"VERIFIED-STATIC address, HYPOTHESIS name (B7, issue #15). Codeword byte; bit 7 clear enables the 0x800006-0x800007 tester-adaptation term in zwgru_build."
0x5C753D,cand_DZWKG_MAX,var,"VERIFIED-STATIC address, HYPOTHESIS name (B7, issue #15). s8 upper clamp on the zwgru_dzw_kg delta."
0x5CA3F1,KFZWOP,table,"VERIFIED-STATIC (B7, issue #15). Torque-model optimum ignition map, 16 rows nmot x 11 cols rl, s8, 0.75 deg CA per LSB (15..45 deg BTDC). ny/nx bytes 0x5CA3D4/0x5CA3D5, nmot axis 0x5CA3D6 (u8, 40 rpm/LSB), rl axis 0x5CA3E6 (u8, 100/128 %/LSB). DO NOT SHIFT for flex fuel (docs/05_flexfuel_design.md section 3.4)."
0x5CA3D6,SNM16OPUW,table,"VERIFIED-STATIC (B7, issue #15). KFZWOP nmot axis, 16 u8 at 40 rpm/LSB: 560..6520 rpm."
0x5CA3E6,SRL11OPUW,table,"VERIFIED-STATIC (B7, issue #15). KFZWOP rl axis, 11 u8 at 100/128 %/LSB: 10.2..103.9 %."
0x5C9E25,cand_KFZWOP_delta_a,table,"HYPOTHESIS (B7, issue #15). 16x11 s8 delta on KFZWOP, axis block 0x5C9E08; read by zwopt_delta_maps when 0x7FD305/0x7FB69A bit 7 set. All zeros here."
0x5C9EF2,cand_KFZWOP_delta_b,table,"HYPOTHESIS (B7, issue #15). 16x11 s8 delta on KFZWOP, axis block 0x5C9ED5; read by zwopt_delta_maps when bit 6 set. All zeros here."
0x5D5A3E,cand_KFSWKFZK,table,"HYPOTHESIS name, VERIFIED-STATIC use (B7, issue #15). 16x12 s8 threshold on the mean knock retard 0x7FCE76; exceeding it latches the low-octane-fuel state. Read by zwgru_low_octane_detect."
0x5D5AFE,cand_KFSWKFZKR,table,"HYPOTHESIS name, VERIFIED-STATIC use (B7, issue #15). 16x12 s8 reset threshold of the low-octane-fuel latch."
0x5D597E,cand_KFDZK,table,"HYPOTHESIS name, VERIFIED-STATIC use (B7, issue #15). 16x12 s8 ignition retard applied while the low-octane-fuel latch is set; result goes to 0x80208E, which zwbas_per_bank adds."
0x5C83F8,cand_knock_cyl_offset,table,"VERIFIED-STATIC (B7, issue #15). Six per-cylinder s8 ignition offsets used by krreg_knock_retard; their mean lands in 0x7FCE74."
0x5C8416,cand_krreg_map,table,"HYPOTHESIS (B7, issue #15). 16x4 s8 map read by krreg_knock_retard via lookup_2d_g_u8_u8_s8 with nmot and 0x7FCE4C; axes 0x5CA402-family: ny 0x5C8400 @0x5C8402, nx 0x5C8401 @0x5C8412."
0x7FD315,zwgru,var,"VERIFIED-STATIC (B7, issue #15). Base ignition angle, s8, 0.75 deg CA/LSB. Written by zwgru_build, read by zwbas_per_bank."
0x7FD316,zwgru_kfzw,var,"VERIFIED-STATIC (B7, issue #15). Cached KFZW(nmot, rl) lookup result, s8."
0x7FD314,zwgru_dzw,var,"VERIFIED-STATIC (B7, issue #15). Cached zwgru_dzw_kg result, s8."
0x7FD30B,zw_bank0,var,"VERIFIED-STATIC (B7, issue #15). Final per-bank ignition angle, bank 0, s8, after the knock retard. Written by zwbas_per_bank, read by zwout_select."
0x7FD30C,zw_bank1,var,"VERIFIED-STATIC (B7, issue #15). Final per-bank ignition angle, bank 1, s8."
0x7FD30A,zwbas_for_torque,var,"VERIFIED-STATIC (B7, issue #15). Copy of zw_bank0 handed to mdbas_etazwb."
0x7FD32A,zwmin,var,"VERIFIED-STATIC (B7, issue #15). Latest permitted ignition angle selected by zwmin_select, s8."
0x7FD32E,zwist_per_bank,var,"VERIFIED-STATIC (B7, issue #15). Output angle array indexed by the bank/cylinder id, s8, clamped -0x48..+0x4E. Read by zw_output_driver."
0x7FD5EC,zwgru_axis_key_nmot,var,"VERIFIED-STATIC (B7, issue #15). (index<<16)|frac key for the KFZW nmot axis, u32; also used as the previous-index hint."
0x7FD5F0,zwgru_axis_key_rl,var,"VERIFIED-STATIC (B7, issue #15). (index<<16)|frac key for the KFZW rl axis, u32."
0x7FEE74,nmot_w,var,"VERIFIED-STATIC (B7, issue #15). Engine speed, u16, 0.25 rpm per LSB - the KFZW row-axis input (lhz -0x117c(r13) at 0x41D344)."
0x7FEFB2,rl_w,var,"VERIFIED-STATIC (B7, issue #15). Relative load, u16, 100%/4096 per LSB - the KFZW column-axis input (lhz -0x103e(r13) at 0x41D358)."
0x7FEF87,zwist_display_b1,var,"VERIFIED-STATIC (B7, issue #15). Ignition angle exported to the tester, s8; measuring var id 9, VCDS group 003 field 4. Written by zwout_select at 0x41D5F4."
0x7FEF88,zwist_display_b2,var,"VERIFIED-STATIC (B7, issue #15). Second-bank ignition angle exported to the tester, s8."
0x7FCE78,dwkrz_internal,table,"VERIFIED-STATIC (B7, issue #15). The knock controller's six internal per-cylinder retard bytes, s8, clamped <= 0."
0x7FCE76,wkrm,var,"VERIFIED-STATIC address, HYPOTHESIS name (B7, issue #15). Mean knock retard exported by krreg_knock_retard; read by the low-octane detector 0x0F436C and by the exhaust-temperature model at 0x4594E8."
0x7FCE3B,krreg_cyl_index,var,"VERIFIED-STATIC (B7, issue #15). Current cylinder index 0..5 used to subscript the knock-retard arrays."
0x80208E,dzw_low_octane,var,"VERIFIED-STATIC (B7, issue #15). s8 ignition retard from the low-octane-fuel detector, added by zwbas_per_bank."
0x802665,zwopt,var,"VERIFIED-STATIC (B7, issue #15). Optimum ignition angle of the torque model, s8, 0.75 deg/LSB. Built by zwopt_build from KFZWOP."
0x802666,zwopt_kfzwop,var,"VERIFIED-STATIC (B7, issue #15). Cached KFZWOP lookup result, s8."
