address,name,kind,comment
0x45822C,hdrpsol_main,func,"VERIFIED-STATIC (B9, issue #17). %HDRPSOL: the rail-pressure setpoint. Picks one of the six KFPRSOL* 8x8 u16 maps (0x5D5224 KH / 0x5D52A4 SCH / 0x5D5324 HOM / 0x5D53A4 HMM / 0x5D54A4 HKS, offset 0x5D5424) on the shared axes 0x5D5578 (load 0x803508) and 0x5D558A (nmot), clamps to KLPRMAX (0x5D5546 = 22000 = 110.0 bar) and PRSOLMN (0x5D5572 = 7000 = 35.0 bar), then rate-limits with the spare pump volume before writing prsoll 0x8031F4. Called once from 0x45CC08. re/findings/rail.md section 3"
0x457BC8,hdr_pi_controller,func,"VERIFIED-STATIC (B9, issue #17). %HDR: prdiff = prsoll(0x8031F4) - prist(0x8031DA) -> 0x8031CA; P gain KLGPHDR (0x5D51C0), I gain KLBIHDR (0x5D51DE), both over prdiff and scaled by an nmot factor; integrator enabled only while every bit of 0x7FD2F4 is set. Output 0x8031CC, converted to a volume in 0x8031D2, which %AMSV adds to the feed-forward. Called once from 0x45CC0C. re/findings/rail.md section 4"
0x4580A4,hdrpist_select,func,"VERIFIED-STATIC (B9, issue #17). %HDRPIST: cross-checks the fast rail-pressure path (0x8031DE = 0x803438/5 - 0x5D5216) against the averaged one (0x80202E) with the threshold 0x5D5218 = 400 (2.0 bar) and hysteresis 0x5D521A = 300; publishes prist_w 0x8031DA as the fast value, a PT1 of the averaged value, or the substitute 0x80201A when the fault bit 0x80201E & 0x10 is set. Called once from 0x45CC04. re/findings/rail.md section 6"
0x457A88,ggdskv_sensor,func,"VERIFIED-STATIC (B9, issue #17). %GGDSKV: averages the rail-pressure ADC into 0x802030, converts it with the 3-point linear sensor curve 0x5D518A (ADC 1632 = 0 -> 16384 = 31120, i.e. a 0.5/4.5 V ratiometric sensor with roughly 138 bar full scale at 0.005 bar/LSB) and adds the offset adaptation 0x800EE8>>7 -> 0x80202E. Called from 0x45CC00 and 0x430E24. re/findings/rail.md section 2c and 6"
0x4589B4,vstmsv_main,func,"VERIFIED-STATIC (B9, issue #17). %VSTMSV: MSV feed-forward and the rail model. kaparail_w 0x8031FE from KFKAPAKR (0x5D5628) over (0x7FD2FA, pressure 0x803202); volume demand 0x803200 from the fuel mass 0x80303A; steady-state pump volume 0x803212 through KFVSTVG/KFVSTVO (0x5D574A / 0x5D57AA); transient term 0x803206; total feed-forward 0x80320A. Called once from 0x45CC10. re/findings/rail.md section 4.4"
0x4565F0,amsv_main,func,"VERIFIED-STATIC (B9, issue #17). %AMSV: MSV drive. v = feed-forward 0x80320A + HDR output 0x8031D2 (CWAMSV 0x5D49CC bit 0, set); scaled into 0x80316C and clamped by the PUMP VOLUME LIMIT VMSVMX (0x5D4BC6 = 5000) -> 0x80316E; the angle curve KLDWMSV (0x5D4B44) turns that into the MSV angles 0x803164 / 0x803168. Also sets the HDR anti-windup bit 0x7FD2D9 bit 1. Called once from 0x45CC18. re/findings/rail.md section 5"
0x45487C,awea_angles,func,"VERIFIED-STATIC (B9, issue #17). %AWEA, time-synchronous part: the start-of-injection angle wbho1s 0x803078 from KFWBHO1SW (0x5D3A83) / KFWBHO1SWE (0x5D3A33) plus KFDWBHO1SK (0x5D3971), all u8 at 0.75 degCA per count on the 0x2300 = 210.0 degCA base; the window margin 0x7FD290 (= 67 = 50.25 degCA) from KLWBHO1SMX (0x5D3BF6); and the window-derived relative-charge limit 0x803070, which is 0xFFFF unless the fuel fault bit 0x80201E & 0x20 is set. Called once from 0x45CCE8. re/findings/rail.md sections 9 and 10"
0x0C7CF8,rl_limit_min_awea,func,"VERIFIED-STATIC (B9, issue #17). 0x80235A = min(0x80234C, 0x803070, 0x802358, 0x802360, 0x80235E): the arbitration that carries the injection-window charge limit into the torque structure. VCDS measuring id 2051 (format 0x21, the rl format). No bl reaches it; it is dispatched through the process-pointer table at file 0x0B1F0C. re/findings/rail.md section 10"
0x0FBE74,rl_limit_charge_protect,func,"VERIFIED-STATIC (B9, issue #17). Produces the charge-protection limits 0x80234C and 0x80234E that rl_limit_min_awea mins against the injection-window limit. re/findings/rail.md section 10"
0x4101A0,mul_div_sat,func,"VERIFIED-STATIC (B9, issue #17). min(a*b/c, 0xFFFF); returns 0xFFFF when c == 0. Used by the prsoll rate limiter (0x45852C) and %VSTMSV"
