# baseline: stock software, bench idle + load step
# ecu: 03H906032 / 1037382557 (synthetic, not a real recording)
# dump_sha256: b15590d3f1874ace3125c5d047c09a686db9b8bb498187663539ebab205609b3
# transport: synthetic
time_s,var,value,unit
0.000,B_stend,1.0000,bit
0.000,lamsoni_w,1.0003,-
0.000,nmot_w,780.1664,rpm
0.000,rl_w,16.7406,%
0.000,ti_1_w,1.4919,ms
0.000,tmot_w,81.8811,degC
0.000,wkr_w,0.1343,degKW
0.050,lamsoni_w,1.0000,-
0.050,nmot_w,781.9712,rpm
0.050,rl_w,17.1618,%
0.050,ti_1_w,1.4906,ms
0.050,wkr_w,-0.1126,degKW
0.100,lamsoni_w,0.9989,-
0.100,nmot_w,786.2996,rpm
0.100,rl_w,16.9117,%
0.100,ti_1_w,1.4914,ms
0.100,wkr_w,0.1450,degKW
0.150,lamsoni_w,1.0021,-
0.150,nmot_w,796.0913,rpm
0.150,rl_w,17.2125,%
0.150,ti_1_w,1.4973,ms
0.150,wkr_w,0.0841,degKW
0.200,lamsoni_w,0.9985,-
0.200,nmot_w,802.5162,rpm
0.200,rl_w,16.7215,%
0.200,ti_1_w,1.4970,ms
0.200,wkr_w,-0.0459,degKW
0.250,lamsoni_w,1.0009,-
0.250,nmot_w,804.9564,rpm
0.250,rl_w,17.0158,%
0.250,ti_1_w,1.4934,ms
0.250,wkr_w,0.0856,degKW
0.300,lamsoni_w,1.0014,-
0.300,nmot_w,804.6552,rpm
0.300,rl_w,17.2959,%
0.300,ti_1_w,1.5009,ms
0.300,wkr_w,0.0775,degKW
0.350,lamsoni_w,0.9976,-
0.350,nmot_w,798.2469,rpm
0.350,rl_w,16.9114,%
0.350,ti_1_w,1.4927,ms
0.350,wkr_w,0.0981,degKW
0.400,lamsoni_w,0.9970,-
0.400,nmot_w,792.5001,rpm
0.400,rl_w,16.9708,%
0.400,ti_1_w,1.5027,ms
0.400,wkr_w,-0.0862,degKW
0.450,lamsoni_w,1.0022,-
0.450,nmot_w,794.0490,rpm
0.450,rl_w,17.1900,%
0.450,ti_1_w,1.4935,ms
0.450,wkr_w,0.0774,degKW
0.500,B_stend,1.0000,bit
0.500,lamsoni_w,1.0021,-
0.500,nmot_w,788.3045,rpm
0.500,rl_w,16.6225,%
0.500,ti_1_w,1.4921,ms
0.500,tmot_w,82.0319,degC
0.500,wkr_w,-0.0771,degKW
0.550,lamsoni_w,0.9986,-
0.550,nmot_w,777.9196,rpm
0.550,rl_w,16.6347,%
0.550,ti_1_w,1.5023,ms
0.550,wkr_w,-0.1322,degKW
0.600,lamsoni_w,0.9970,-
0.600,nmot_w,770.4521,rpm
0.600,rl_w,17.3320,%
0.600,ti_1_w,1.4962,ms
0.600,wkr_w,0.0209,degKW
0.650,lamsoni_w,0.9998,-
0.650,nmot_w,763.2693,rpm
0.650,rl_w,16.9967,%
0.650,ti_1_w,1.4908,ms
0.650,wkr_w,-0.0282,degKW
0.700,lamsoni_w,0.9991,-
0.700,nmot_w,767.0445,rpm
0.700,rl_w,16.9416,%
0.700,ti_1_w,1.4927,ms
0.700,wkr_w,-0.1370,degKW
0.750,lamsoni_w,0.9968,-
0.750,nmot_w,756.3764,rpm
0.750,rl_w,17.0179,%
0.750,ti_1_w,1.4981,ms
0.750,wkr_w,-0.0297,degKW
0.800,lamsoni_w,0.9978,-
0.800,nmot_w,763.3579,rpm
0.800,rl_w,16.7959,%
0.800,ti_1_w,1.4925,ms
0.800,wkr_w,-0.0606,degKW
0.850,lamsoni_w,1.0012,-
0.850,nmot_w,759.1383,rpm
0.850,rl_w,17.3098,%
0.850,ti_1_w,1.4876,ms
0.850,wkr_w,-0.0304,degKW
0.900,lamsoni_w,0.9979,-
0.900,nmot_w,766.6603,rpm
0.900,rl_w,17.1861,%
0.900,ti_1_w,1.5020,ms
0.900,wkr_w,0.1015,degKW
0.950,lamsoni_w,1.0014,-
0.950,nmot_w,774.5928,rpm
0.950,rl_w,17.2229,%
0.950,ti_1_w,1.4939,ms
0.950,wkr_w,0.0928,degKW
1.000,B_stend,1.0000,bit
1.000,lamsoni_w,1.0029,-
1.000,nmot_w,770.3169,rpm
1.000,rl_w,16.8239,%
1.000,ti_1_w,1.4892,ms
1.000,tmot_w,82.2091,degC
1.000,wkr_w,0.0751,degKW
1.050,lamsoni_w,1.0024,-
1.050,nmot_w,776.8323,rpm
1.050,rl_w,16.7120,%
1.050,ti_1_w,1.4917,ms
1.050,wkr_w,-0.0843,degKW
1.100,lamsoni_w,1.0039,-
1.100,nmot_w,786.9878,rpm
1.100,rl_w,17.1725,%
1.100,ti_1_w,1.4902,ms
1.100,wkr_w,-0.0750,degKW
1.150,lamsoni_w,1.0032,-
1.150,nmot_w,790.7361,rpm
1.150,rl_w,17.2042,%
1.150,ti_1_w,1.5008,ms
1.150,wkr_w,0.1434,degKW
1.200,lamsoni_w,0.9997,-
1.200,nmot_w,794.6183,rpm
1.200,rl_w,16.9458,%
1.200,ti_1_w,1.4890,ms
1.200,wkr_w,-0.0787,degKW
1.250,lamsoni_w,0.9979,-
1.250,nmot_w,804.5924,rpm
1.250,rl_w,17.1223,%
1.250,ti_1_w,1.4967,ms
1.250,wkr_w,-0.0135,degKW
1.300,lamsoni_w,0.9972,-
1.300,nmot_w,803.4504,rpm
1.300,rl_w,16.6631,%
1.300,ti_1_w,1.4946,ms
1.300,wkr_w,-0.0763,degKW
1.350,lamsoni_w,0.9998,-
1.350,nmot_w,804.7377,rpm
