# candidate: same software, repeat run (noise only)
# ecu: 03H906032 / 1037382557 (synthetic, not a real recording)
# dump_sha256: b15590d3f1874ace3125c5d047c09a686db9b8bb498187663539ebab205609b3
# transport: synthetic
time_s,var,value,unit
0.017,B_stend,1.0000,bit
0.017,lamsoni_w,0.9992,-
0.017,nmot_w,774.3328,rpm
0.017,rl_w,17.1571,%
0.017,ti_1_w,1.4920,ms
0.017,tmot_w,82.0635,degC
0.017,wkr_w,0.0865,degKW
0.067,lamsoni_w,1.0010,-
0.067,nmot_w,789.8332,rpm
0.067,rl_w,17.3318,%
0.067,ti_1_w,1.5006,ms
0.067,wkr_w,0.1478,degKW
0.117,lamsoni_w,0.9995,-
0.117,nmot_w,794.8162,rpm
0.117,rl_w,17.3630,%
0.117,ti_1_w,1.4931,ms
0.117,wkr_w,-0.0530,degKW
0.167,lamsoni_w,0.9966,-
0.167,nmot_w,793.0402,rpm
0.167,rl_w,17.0348,%
0.167,ti_1_w,1.4949,ms
0.167,wkr_w,-0.1436,degKW
0.217,lamsoni_w,1.0033,-
0.217,nmot_w,792.8857,rpm
0.217,rl_w,16.6431,%
0.217,ti_1_w,1.4958,ms
0.217,wkr_w,0.0643,degKW
0.267,lamsoni_w,0.9998,-
0.267,nmot_w,800.0145,rpm
0.267,rl_w,17.0752,%
0.267,ti_1_w,1.4885,ms
0.267,wkr_w,-0.0306,degKW
0.317,lamsoni_w,1.0020,-
0.317,nmot_w,803.6450,rpm
0.317,rl_w,17.3658,%
0.317,ti_1_w,1.4981,ms
0.317,wkr_w,-0.0687,degKW
0.367,lamsoni_w,0.9977,-
0.367,nmot_w,798.5521,rpm
0.367,rl_w,16.8106,%
0.367,ti_1_w,1.4920,ms
0.367,wkr_w,-0.1476,degKW
0.417,lamsoni_w,0.9993,-
0.417,nmot_w,788.8924,rpm
0.417,rl_w,17.0977,%
0.417,ti_1_w,1.5028,ms
0.417,wkr_w,-0.1394,degKW
0.467,lamsoni_w,0.9961,-
0.467,nmot_w,785.0920,rpm
0.467,rl_w,16.8795,%
0.467,ti_1_w,1.4904,ms
0.467,wkr_w,0.0948,degKW
0.517,B_stend,1.0000,bit
0.517,lamsoni_w,1.0032,-
0.517,nmot_w,776.9388,rpm
0.517,rl_w,17.1275,%
0.517,ti_1_w,1.4999,ms
0.517,tmot_w,82.1799,degC
0.517,wkr_w,-0.0090,degKW
0.567,lamsoni_w,0.9981,-
0.567,nmot_w,780.4943,rpm
0.567,rl_w,17.3818,%
0.567,ti_1_w,1.4926,ms
0.567,wkr_w,0.1407,degKW
0.617,lamsoni_w,0.9963,-
0.617,nmot_w,766.1102,rpm
0.617,rl_w,17.2063,%
0.617,ti_1_w,1.4879,ms
0.617,wkr_w,-0.0776,degKW
0.667,lamsoni_w,1.0028,-
0.667,nmot_w,771.7037,rpm
0.667,rl_w,17.0023,%
0.667,ti_1_w,1.4886,ms
0.667,wkr_w,-0.0424,degKW
