# session: ff_fuel, 2026-09-22T20:04:33+03:00
# ecu: 03H906032 / 1037382557
# dump_sha256: b15590d3f1874ace3125c5d047c09a686db9b8bb498187663539ebab205609b3
# transport: KWP2000 0x2C/0x21 over TP2.0
# source_file: /Users/carlo/ecu_azx/.claude/worktrees/agent-a75332f8901c56fe1/logging/sessions/ff_fuel.json
# simulated: true
# simulated_by: logging/ecu_sim.py -- NOT a recording of an ECU
# sim_patch: /Users/carlo/ecu_azx/.claude/worktrees/agent-a75332f8901c56fe1/patches/ff_fuel
# sim_eeprom: /Users/carlo/ecu_azx/.claude/worktrees/agent-a75332f8901c56fe1/work/eeprom_rehearsal.bin
# sim_time_scale: 5
time_s,var,value,unit
0.2120,ff_magic,1179004977,-
0.2120,ff_length,76,B
0.2120,ff_csum,64037,-
0.2120,ff_e_filt,85,%
0.2120,ff_f_q10,1.54199,-
0.2120,ff_mode,3,-
0.2120,ff_status,255,-
0.2120,ff_e_raw,0,%
0.2120,ff_t_fuel,-40,degC
0.2120,ff_frame_ctr,0,-
0.2120,ff_fw_ver,0,-
0.2120,ff_cal_mode,1,-
0.2120,ff_cal_ok,1,-
0.2120,ff_age_ticks,1.52,s
0.2120,ff_hold_ticks,0,s
0.2120,ff_frames,0,count
0.2120,ff_faults,0,count
0.2120,ff_stall,0,count
0.2120,ff_src_owner,1,-
0.2120,ff_src_seen,1,-
0.2120,ff_src_foreign,0,count
0.2120,ff_ticks,152,count
0.2120,ff_e_key,85,%
0.2120,ff_e_frac,0,-
0.2120,ff_frame_bad,0,-
0.2120,ff_dzw_e,0,degCA
0.2120,ff_fzw_q8,0,-
0.2120,ff_rk_calls,73,count
0.2120,ff_e_persist,85,%
0.2120,ff_persist_state,0,-
0.2120,ff_persist_err,2,-
0.2120,ff_diag_e_pct,85,%
0.2120,ff_diag_f_pct,154,%
0.2120,ff_diag_t_degc,-40,degC
0.2120,ff_persist_wait,58.48,s
0.2120,ff_persist_writes,0,count
0.2120,ff_persist_fails,0,count
0.2120,eep_blk8_mirror_b0,8,%
0.2120,eep_blk8_mirror_b1,1,%
0.2120,eep_blk8_mirror_b2,85,%
0.2120,eep_blk8_mirror_b14,0,-
0.2120,eep_blk8_mirror_b29,1,-
0.2120,eep_blk8_mirror_csum,64289,-
0.2120,nvm_queue_state,33,-
0.2120,raster_setA_10ms_count,152,count
0.2120,raster_setB_10ms_count,0,count
0.2120,raster_setB_1ms_count,0,count
0.2120,rk_fuel_mass,1258,-
0.2120,zwist_display_b1,15,degCA
0.2120,dwkrz_0,0,degCA
0.2120,dwkrz_1,0,degCA
0.2120,dwkrz_2,0,degCA
0.2120,dwkrz_3,0,degCA
0.2120,dwkrz_4,0,degCA
0.2120,dwkrz_5,0,degCA
0.2120,wkrm,0,degCA
0.2120,zw_low_octane_latch,0,-
0.2120,rl_w,28.9307,%
0.2120,nmot_w,1134.25,rpm
0.2120,rl_for_fuel,28.9307,%
0.2120,tmot,20.25,degC
0.2120,can_rx_spare0_b0,0,%
0.2120,can_rx_spare0_ctr,0,-
0.2120,ff_fst_q10,1,-
0.2120,ff_zwst_add,0,degCA
0.2120,tmst,-48,degC
0.2120,ksta_adapted,1,-
0.2120,zwstt,0,degCA
0.2120,B_st,0,-
0.2120,B_stend,0,-
0.2120,anztist,0,count
0.2120,zdgz,0,count
0.2120,tnst_w,0,count
0.2120,fr_w_b1,0,-
0.2120,rlsol_req,0,%
0.2120,rl_max_arb,0.195312,%
0.2120,ff_msv_sat_ticks,0,count
0.2120,ff_prail_add,0,bar
0.2120,ff_win_margin_min,-2.8125,degCA
0.2120,ff_prist_min,60,bar
0.2120,ff_diag_ticks,48,count
0.2120,prsoll_raw,0,bar
0.2120,prsoll_clamped,0,bar
0.2120,prsoll_rate,0,bar
0.2120,prsoll_w,61,bar
0.2120,prist_w,60,bar
0.2120,prdiff,0,bar
0.2120,vhdp_spare,16,-
0.2120,vmsv_limited,512,-
0.2120,wbho1s_w,4.6875,degCA
0.2120,dwi_inj_angle,7.5,degCA
0.2120,win_margin_req,0,0.75 degCA
0.2120,ti_sum,2400,us
0.5508,ff_magic,1179004977,-
0.5508,ff_length,76,B
0.5508,ff_csum,63848,-
0.5508,ff_e_filt,85,%
0.5508,ff_f_q10,1.54199,-
0.5508,ff_mode,3,-
0.5508,ff_status,255,-
0.5508,ff_e_raw,0,%
0.5508,ff_t_fuel,-40,degC
0.5508,ff_frame_ctr,0,-
0.5508,ff_fw_ver,0,-
0.5508,ff_cal_mode,1,-
0.5508,ff_cal_ok,1,-
0.5508,ff_age_ticks,2.41,s
0.5508,ff_hold_ticks,0,s
0.5508,ff_frames,0,count
0.5508,ff_faults,0,count
0.5508,ff_stall,0,count
0.5508,ff_src_owner,1,-
0.5508,ff_src_seen,1,-
0.5508,ff_src_foreign,0,count
0.5508,ff_ticks,241,count
0.5508,ff_e_key,85,%
0.5508,ff_e_frac,0,-
0.5508,ff_frame_bad,0,-
0.5508,ff_dzw_e,0,degCA
0.5508,ff_fzw_q8,0,-
0.5508,ff_rk_calls,128,count
0.5508,ff_e_persist,85,%
0.5508,ff_persist_state,0,-
0.5508,ff_persist_err,2,-
0.5508,ff_diag_e_pct,85,%
0.5508,ff_diag_f_pct,154,%
0.5508,ff_diag_t_degc,-40,degC
0.5508,ff_persist_wait,57.59,s
0.5508,ff_persist_writes,0,count
0.5508,ff_persist_fails,0,count
0.5508,eep_blk8_mirror_b0,8,%
0.5508,eep_blk8_mirror_b1,1,%
0.5508,eep_blk8_mirror_b2,85,%
0.5508,eep_blk8_mirror_b14,0,-
0.5508,eep_blk8_mirror_b29,1,-
0.5508,eep_blk8_mirror_csum,64289,-
0.5508,nvm_queue_state,33,-
0.5508,raster_setA_10ms_count,240,count
0.5508,raster_setB_10ms_count,0,count
0.5508,raster_setB_1ms_count,0,count
0.5508,rk_fuel_mass,1407,-
0.5508,zwist_display_b1,15,degCA
0.5508,dwkrz_0,0,degCA
0.5508,dwkrz_1,0,degCA
0.5508,dwkrz_2,0,degCA
0.5508,dwkrz_3,0,degCA
0.5508,dwkrz_4,0,degCA
0.5508,dwkrz_5,0,degCA
0.5508,wkrm,0,degCA
0.5508,zw_low_octane_latch,0,-
0.5508,rl_w,35.3516,%
0.5508,nmot_w,1330,rpm
0.5508,rl_for_fuel,35.3516,%
0.5508,tmot,21,degC
0.5508,can_rx_spare0_b0,0,%
0.5508,can_rx_spare0_ctr,0,-
0.5508,ff_fst_q10,1,-
0.5508,ff_zwst_add,0,degCA
0.5508,tmst,-48,degC
0.5508,ksta_adapted,1,-
0.5508,zwstt,0,degCA
0.5508,B_st,0,-
0.5508,B_stend,0,-
0.5508,anztist,0,count
0.5508,zdgz,0,count
0.5508,tnst_w,0,count
0.5508,fr_w_b1,0,-
0.5508,rlsol_req,0,%
0.5508,rl_max_arb,0.195312,%
0.5508,ff_msv_sat_ticks,0,count
0.5508,ff_prail_add,0,bar
0.5508,ff_win_margin_min,-2.8125,degCA
0.5508,ff_prist_min,60,bar
0.5508,ff_diag_ticks,59,count
0.5508,prsoll_raw,0,bar
0.5508,prsoll_clamped,0,bar
0.5508,prsoll_rate,0,bar
0.5508,prsoll_w,61,bar
0.5508,prist_w,60,bar
0.5508,prdiff,0,bar
0.5508,vhdp_spare,16,-
0.5508,vmsv_limited,512,-
0.5508,wbho1s_w,4.6875,degCA
0.5508,dwi_inj_angle,7.5,degCA
0.5508,win_margin_req,0,0.75 degCA
0.5508,ti_sum,2400,us
0.8891,ff_magic,1179004977,-
0.8891,ff_length,76,B
0.8891,ff_csum,64173,-
0.8891,ff_e_filt,85,%
0.8891,ff_f_q10,1.54199,-
0.8891,ff_mode,3,-
0.8891,ff_status,255,-
0.8891,ff_e_raw,0,%
0.8891,ff_t_fuel,-40,degC
0.8891,ff_frame_ctr,0,-
0.8891,ff_fw_ver,0,-
0.8891,ff_cal_mode,1,-
0.8891,ff_cal_ok,1,-
0.8891,ff_age_ticks,3.26,s
0.8891,ff_hold_ticks,0,s
0.8891,ff_frames,0,count
0.8891,ff_faults,0,count
0.8891,ff_stall,0,count
0.8891,ff_src_owner,1,-
0.8891,ff_src_seen,1,-
0.8891,ff_src_foreign,0,count
0.8891,ff_ticks,326,count
0.8891,ff_e_key,85,%
0.8891,ff_e_frac,0,-
0.8891,ff_frame_bad,0,-
0.8891,ff_dzw_e,0,degCA
0.8891,ff_fzw_q8,0,-
0.8891,ff_rk_calls,189,count
0.8891,ff_e_persist,85,%
0.8891,ff_persist_state,0,-
0.8891,ff_persist_err,2,-
0.8891,ff_diag_e_pct,85,%
0.8891,ff_diag_f_pct,154,%
0.8891,ff_diag_t_degc,-40,degC
0.8891,ff_persist_wait,56.74,s
0.8891,ff_persist_writes,0,count
0.8891,ff_persist_fails,0,count
0.8891,eep_blk8_mirror_b0,8,%
0.8891,eep_blk8_mirror_b1,1,%
0.8891,eep_blk8_mirror_b2,85,%
0.8891,eep_blk8_mirror_b14,0,-
0.8891,eep_blk8_mirror_b29,1,-
0.8891,eep_blk8_mirror_csum,64289,-
0.8891,nvm_queue_state,33,-
0.8891,raster_setA_10ms_count,325,count
0.8891,raster_setB_10ms_count,0,count
0.8891,raster_setB_1ms_count,0,count
0.8891,rk_fuel_mass,1550,-
0.8891,zwist_display_b1,15,degCA
0.8891,dwkrz_0,0,degCA
0.8891,dwkrz_1,0,degCA
0.8891,dwkrz_2,0,degCA
0.8891,dwkrz_3,0,degCA
0.8891,dwkrz_4,0,degCA
0.8891,dwkrz_5,0,degCA
0.8891,wkrm,0,degCA
0.8891,zw_low_octane_latch,0,-
0.8891,rl_w,41.4551,%
0.8891,nmot_w,1517,rpm
0.8891,rl_for_fuel,41.4551,%
0.8891,tmot,21.75,degC
0.8891,can_rx_spare0_b0,0,%
0.8891,can_rx_spare0_ctr,0,-
0.8891,ff_fst_q10,1,-
0.8891,ff_zwst_add,0,degCA
0.8891,tmst,-48,degC
0.8891,ksta_adapted,1,-
0.8891,zwstt,0,degCA
0.8891,B_st,0,-
0.8891,B_stend,0,-
0.8891,anztist,0,count
0.8891,zdgz,0,count
0.8891,tnst_w,0,count
0.8891,fr_w_b1,0,-
0.8891,rlsol_req,0,%
0.8891,rl_max_arb,0.195312,%
0.8891,ff_msv_sat_ticks,0,count
0.8891,ff_prail_add,0,bar
0.8891,ff_win_margin_min,-2.8125,degCA
0.8891,ff_prist_min,60,bar
0.8891,ff_diag_ticks,74,count
0.8891,prsoll_raw,0,bar
0.8891,prsoll_clamped,0,bar
0.8891,prsoll_rate,0,bar
0.8891,prsoll_w,61,bar
0.8891,prist_w,60,bar
0.8891,prdiff,0,bar
0.8891,vhdp_spare,16,-
0.8891,vmsv_limited,512,-
0.8891,wbho1s_w,4.6875,degCA
0.8891,dwi_inj_angle,7.5,degCA
0.8891,win_margin_req,0,0.75 degCA
0.8891,ti_sum,2400,us
1.2256,ff_magic,1179004977,-
1.2256,ff_length,76,B
1.2256,ff_csum,63991,-
1.2256,ff_e_filt,85,%
1.2256,ff_f_q10,1.54199,-
1.2256,ff_mode,3,-
1.2256,ff_status,255,-
1.2256,ff_e_raw,0,%
1.2256,ff_t_fuel,-40,degC
1.2256,ff_frame_ctr,0,-
1.2256,ff_fw_ver,0,-
1.2256,ff_cal_mode,1,-
1.2256,ff_cal_ok,1,-
1.2256,ff_age_ticks,4.08,s
1.2256,ff_hold_ticks,0,s
1.2256,ff_frames,0,count
1.2256,ff_faults,0,count
1.2256,ff_stall,0,count
1.2256,ff_src_owner,1,-
1.2256,ff_src_seen,1,-
1.2256,ff_src_foreign,0,count
1.2256,ff_ticks,408,count
1.2256,ff_e_key,85,%
1.2256,ff_e_frac,0,-
1.2256,ff_frame_bad,0,-
1.2256,ff_dzw_e,0,degCA
1.2256,ff_fzw_q8,0,-
1.2256,ff_rk_calls,254,count
1.2256,ff_e_persist,85,%
1.2256,ff_persist_state,0,-
1.2256,ff_persist_err,2,-
1.2256,ff_diag_e_pct,85,%
1.2256,ff_diag_f_pct,154,%
1.2256,ff_diag_t_degc,-40,degC
1.2256,ff_persist_wait,55.92,s
1.2256,ff_persist_writes,0,count
1.2256,ff_persist_fails,0,count
1.2256,eep_blk8_mirror_b0,8,%
1.2256,eep_blk8_mirror_b1,1,%
1.2256,eep_blk8_mirror_b2,85,%
1.2256,eep_blk8_mirror_b14,0,-
1.2256,eep_blk8_mirror_b29,1,-
1.2256,eep_blk8_mirror_csum,64289,-
1.2256,nvm_queue_state,33,-
1.2256,raster_setA_10ms_count,407,count
1.2256,raster_setB_10ms_count,0,count
1.2256,raster_setB_1ms_count,0,count
1.2256,rk_fuel_mass,1692,-
1.2256,zwist_display_b1,15,degCA
1.2256,dwkrz_0,0,degCA
1.2256,dwkrz_1,0,degCA
1.2256,dwkrz_2,0,degCA
1.2256,dwkrz_3,0,degCA
1.2256,dwkrz_4,0,degCA
1.2256,dwkrz_5,0,degCA
1.2256,wkrm,0,degCA
1.2256,zw_low_octane_latch,0,-
1.2256,rl_w,47.3633,%
1.2256,nmot_w,1697.5,rpm
1.2256,rl_for_fuel,47.3633,%
1.2256,tmot,21.75,degC
1.2256,can_rx_spare0_b0,0,%
1.2256,can_rx_spare0_ctr,0,-
1.2256,ff_fst_q10,1,-
1.2256,ff_zwst_add,0,degCA
1.2256,tmst,-48,degC
1.2256,ksta_adapted,1,-
1.2256,zwstt,0,degCA
1.2256,B_st,0,-
1.2256,B_stend,0,-
1.2256,anztist,0,count
1.2256,zdgz,0,count
1.2256,tnst_w,0,count
1.2256,fr_w_b1,0,-
1.2256,rlsol_req,0,%
1.2256,rl_max_arb,0.195312,%
1.2256,ff_msv_sat_ticks,0,count
1.2256,ff_prail_add,0,bar
1.2256,ff_win_margin_min,-2.8125,degCA
1.2256,ff_prist_min,60,bar
1.2256,ff_diag_ticks,92,count
1.2256,prsoll_raw,0,bar
1.2256,prsoll_clamped,0,bar
1.2256,prsoll_rate,0,bar
1.2256,prsoll_w,61,bar
1.2256,prist_w,60,bar
1.2256,prdiff,0,bar
1.2256,vhdp_spare,16,-
1.2256,vmsv_limited,512,-
1.2256,wbho1s_w,4.6875,degCA
1.2256,dwi_inj_angle,7.5,degCA
1.2256,win_margin_req,0,0.75 degCA
1.2256,ti_sum,2400,us
1.5578,ff_magic,1179004977,-
1.5578,ff_length,76,B
1.5578,ff_csum,63910,-
1.5578,ff_e_filt,85,%
1.5578,ff_f_q10,1.54199,-
1.5578,ff_mode,3,-
1.5578,ff_status,255,-
1.5578,ff_e_raw,0,%
1.5578,ff_t_fuel,-40,degC
1.5578,ff_frame_ctr,0,-
1.5578,ff_fw_ver,0,-
1.5578,ff_cal_mode,1,-
1.5578,ff_cal_ok,1,-
1.5578,ff_age_ticks,4.89,s
1.5578,ff_hold_ticks,0,s
1.5578,ff_frames,0,count
1.5578,ff_faults,0,count
1.5578,ff_stall,0,count
1.5578,ff_src_owner,1,-
1.5578,ff_src_seen,1,-
1.5578,ff_src_foreign,0,count
1.5578,ff_ticks,489,count
1.5578,ff_e_key,85,%
1.5578,ff_e_frac,0,-
1.5578,ff_frame_bad,0,-
1.5578,ff_dzw_e,0,degCA
1.5578,ff_fzw_q8,0,-
1.5578,ff_rk_calls,327,count
1.5578,ff_e_persist,85,%
1.5578,ff_persist_state,0,-
1.5578,ff_persist_err,2,-
1.5578,ff_diag_e_pct,85,%
1.5578,ff_diag_f_pct,154,%
1.5578,ff_diag_t_degc,-40,degC
1.5578,ff_persist_wait,55.11,s
1.5578,ff_persist_writes,0,count
1.5578,ff_persist_fails,0,count
1.5578,eep_blk8_mirror_b0,8,%
1.5578,eep_blk8_mirror_b1,1,%
1.5578,eep_blk8_mirror_b2,85,%
1.5578,eep_blk8_mirror_b14,0,-
1.5578,eep_blk8_mirror_b29,1,-
1.5578,eep_blk8_mirror_csum,64289,-
1.5578,nvm_queue_state,33,-
1.5578,raster_setA_10ms_count,488,count
1.5578,raster_setB_10ms_count,0,count
1.5578,raster_setB_1ms_count,0,count
1.5578,rk_fuel_mass,1830,-
1.5578,zwist_display_b1,15,degCA
1.5578,dwkrz_0,0,degCA
1.5578,dwkrz_1,0,degCA
1.5578,dwkrz_2,0,degCA
1.5578,dwkrz_3,0,degCA
1.5578,dwkrz_4,0,degCA
1.5578,dwkrz_5,0,degCA
1.5578,wkrm,0,degCA
1.5578,zw_low_octane_latch,0,-
1.5578,rl_w,53.1982,%
1.5578,nmot_w,1875.75,rpm
1.5578,rl_for_fuel,53.1982,%
1.5578,tmot,22.5,degC
1.5578,can_rx_spare0_b0,0,%
1.5578,can_rx_spare0_ctr,0,-
1.5578,ff_fst_q10,1,-
1.5578,ff_zwst_add,0,degCA
1.5578,tmst,-48,degC
1.5578,ksta_adapted,1,-
1.5578,zwstt,0,degCA
1.5578,B_st,0,-
1.5578,B_stend,0,-
1.5578,anztist,0,count
1.5578,zdgz,0,count
1.5578,tnst_w,0,count
1.5578,fr_w_b1,0,-
1.5578,rlsol_req,0,%
1.5578,rl_max_arb,0.195312,%
1.5578,ff_msv_sat_ticks,0,count
1.5578,ff_prail_add,0,bar
1.5578,ff_win_margin_min,-2.8125,degCA
1.5578,ff_prist_min,60,bar
1.5578,ff_diag_ticks,11,count
1.5578,prsoll_raw,0,bar
1.5578,prsoll_clamped,0,bar
1.5578,prsoll_rate,0,bar
1.5578,prsoll_w,61,bar
1.5578,prist_w,60,bar
1.5578,prdiff,0,bar
1.5578,vhdp_spare,16,-
1.5578,vmsv_limited,512,-
1.5578,wbho1s_w,4.6875,degCA
1.5578,dwi_inj_angle,7.5,degCA
1.5578,win_margin_req,0,0.75 degCA
1.5578,ti_sum,2400,us
1.8888,ff_magic,1179004977,-
1.8888,ff_length,76,B
1.8888,ff_csum,64243,-
1.8888,ff_e_filt,85,%
1.8888,ff_f_q10,1.54199,-
1.8888,ff_mode,3,-
1.8888,ff_status,255,-
1.8888,ff_e_raw,0,%
1.8888,ff_t_fuel,-40,degC
1.8888,ff_frame_ctr,0,-
1.8888,ff_fw_ver,0,-
1.8888,ff_cal_mode,1,-
1.8888,ff_cal_ok,1,-
1.8888,ff_age_ticks,5.66,s
1.8888,ff_hold_ticks,0,s
1.8888,ff_frames,0,count
1.8888,ff_faults,0,count
1.8888,ff_stall,0,count
1.8888,ff_src_owner,1,-
1.8888,ff_src_seen,1,-
1.8888,ff_src_foreign,0,count
1.8888,ff_ticks,566,count
1.8888,ff_e_key,85,%
1.8888,ff_e_frac,0,-
1.8888,ff_frame_bad,0,-
1.8888,ff_dzw_e,0,degCA
1.8888,ff_fzw_q8,0,-
1.8888,ff_rk_calls,402,count
1.8888,ff_e_persist,85,%
1.8888,ff_persist_state,0,-
1.8888,ff_persist_err,2,-
1.8888,ff_diag_e_pct,85,%
1.8888,ff_diag_f_pct,154,%
1.8888,ff_diag_t_degc,-40,degC
1.8888,ff_persist_wait,54.34,s
1.8888,ff_persist_writes,0,count
1.8888,ff_persist_fails,0,count
1.8888,eep_blk8_mirror_b0,8,%
1.8888,eep_blk8_mirror_b1,1,%
1.8888,eep_blk8_mirror_b2,85,%
1.8888,eep_blk8_mirror_b14,0,-
1.8888,eep_blk8_mirror_b29,1,-
1.8888,eep_blk8_mirror_csum,64289,-
