# session: ff_fuel, 2026-09-17T14:49:11+03:00
# ecu: 03H906032 / 1037382557
# dump_sha256: b15590d3f1874ace3125c5d047c09a686db9b8bb498187663539ebab205609b3
# transport: KWP2000 0x2C/0x21 over TP2.0
# source_file: /Users/carlo/ecu_azx/.claude/worktrees/agent-a018e0e0ede90c99f/logging/sessions/ff_fuel.json
# simulated: true
# simulated_by: logging/ecu_sim.py -- NOT a recording of an ECU
# sim_patch: /Users/carlo/ecu_azx/.claude/worktrees/agent-a018e0e0ede90c99f/patches/ff_fuel
# sim_time_scale: 1
time_s,var,value,unit
0.1044,ff_magic,1179004977,-
0.1044,ff_length,64,B
0.1044,ff_csum,65247,-
0.1044,ff_e_filt,0,%
0.1044,ff_f_q10,1,-
0.1044,ff_mode,3,-
0.1044,ff_status,255,-
0.1044,ff_e_raw,0,%
0.1044,ff_t_fuel,-40,degC
0.1044,ff_frame_ctr,0,-
0.1044,ff_fw_ver,0,-
0.1044,ff_cal_mode,1,-
0.1044,ff_cal_ok,1,-
0.1044,ff_age_ticks,0.11,s
0.1044,ff_hold_ticks,0,s
0.1044,ff_frames,0,count
0.1044,ff_faults,0,count
0.1044,ff_stall,0,count
0.1044,ff_src_owner,1,-
0.1044,ff_src_seen,1,-
0.1044,ff_src_foreign,0,count
0.1044,ff_ticks,11,count
0.1044,ff_e_key,0,%
0.1044,ff_e_frac,0,-
0.1044,ff_frame_bad,0,-
0.1044,ff_dzw_e,0,degCA
0.1044,ff_fzw_q8,0,-
0.1044,ff_rk_calls,4,count
0.1044,ff_e_persist,0,%
0.1044,ff_persist_state,0,-
0.1044,ff_persist_err,2,-
0.1044,ff_diag_e_pct,0,%
0.1044,ff_diag_f_pct,100,%
0.1044,ff_diag_t_degc,-40,degC
0.1044,ff_persist_wait,59.89,s
0.1044,ff_persist_writes,0,count
0.1044,ff_persist_fails,0,count
0.1044,eep_blk8_mirror_b0,0,%
0.1044,eep_blk8_mirror_b14,0,-
0.1044,eep_blk8_mirror_b29,0,-
0.1044,eep_blk8_mirror_csum,0,-
0.1044,nvm_queue_state,0,-
0.1044,raster_setA_10ms_count,10,count
0.1044,raster_setB_10ms_count,0,count
0.1044,raster_setB_1ms_count,0,count
0.1044,rk_fuel_mass,963,-
0.1044,ti_sum,157286,ms
0.1044,dwi_inj_angle,7.5,degCA
0.1044,zwist_display_b1,15,degCA
0.1044,dwkrz_0,0,degCA
0.1044,dwkrz_1,0,degCA
0.1044,dwkrz_2,0,degCA
0.1044,dwkrz_3,0,degCA
0.1044,dwkrz_4,0,degCA
0.1044,dwkrz_5,0,degCA
0.1044,wkrm,0,degCA
0.1044,zw_low_octane_latch,0,-
0.1044,rl_w,18.7744,%
0.1044,prist_w,60,bar
0.1044,nmot_w,824,rpm
0.1044,rl_for_fuel,18.7744,%
0.1044,tmot,19.5,degC
0.1044,can_rx_spare0_b0,0,%
0.1044,can_rx_spare0_ctr,0,-
0.4377,ff_magic,1179004977,-
0.4377,ff_length,64,B
0.4377,ff_csum,65179,-
0.4377,ff_e_filt,0,%
0.4377,ff_f_q10,1,-
0.4377,ff_mode,3,-
0.4377,ff_status,255,-
0.4377,ff_e_raw,0,%
0.4377,ff_t_fuel,-40,degC
0.4377,ff_frame_ctr,0,-
0.4377,ff_fw_ver,0,-
0.4377,ff_cal_mode,1,-
0.4377,ff_cal_ok,1,-
0.4377,ff_age_ticks,0.45,s
0.4377,ff_hold_ticks,0,s
0.4377,ff_frames,0,count
0.4377,ff_faults,0,count
0.4377,ff_stall,0,count
0.4377,ff_src_owner,1,-
0.4377,ff_src_seen,1,-
0.4377,ff_src_foreign,0,count
0.4377,ff_ticks,45,count
0.4377,ff_e_key,0,%
0.4377,ff_e_frac,0,-
0.4377,ff_frame_bad,0,-
0.4377,ff_dzw_e,0,degCA
0.4377,ff_fzw_q8,0,-
0.4377,ff_rk_calls,19,count
0.4377,ff_e_persist,0,%
0.4377,ff_persist_state,0,-
0.4377,ff_persist_err,2,-
0.4377,ff_diag_e_pct,0,%
0.4377,ff_diag_f_pct,100,%
0.4377,ff_diag_t_degc,-40,degC
0.4377,ff_persist_wait,59.55,s
0.4377,ff_persist_writes,0,count
0.4377,ff_persist_fails,0,count
0.4377,eep_blk8_mirror_b0,0,%
0.4377,eep_blk8_mirror_b14,0,-
0.4377,eep_blk8_mirror_b29,0,-
0.4377,eep_blk8_mirror_csum,0,-
0.4377,nvm_queue_state,0,-
0.4377,raster_setA_10ms_count,45,count
0.4377,raster_setB_10ms_count,0,count
0.4377,raster_setB_1ms_count,0,count
0.4377,rk_fuel_mass,1021,-
0.4377,ti_sum,157286,ms
0.4377,dwi_inj_angle,7.5,degCA
0.4377,zwist_display_b1,15,degCA
0.4377,dwkrz_0,0,degCA
0.4377,dwkrz_1,0,degCA
0.4377,dwkrz_2,0,degCA
0.4377,dwkrz_3,0,degCA
0.4377,dwkrz_4,0,degCA
0.4377,dwkrz_5,0,degCA
0.4377,wkrm,0,degCA
0.4377,zw_low_octane_latch,0,-
0.4377,rl_w,21.2158,%
0.4377,prist_w,60,bar
0.4377,nmot_w,899,rpm
0.4377,rl_for_fuel,21.2158,%
0.4377,tmot,20.25,degC
0.4377,can_rx_spare0_b0,0,%
0.4377,can_rx_spare0_ctr,0,-
0.7733,ff_magic,1179004977,-
0.7733,ff_length,64,B
0.7733,ff_csum,65113,-
0.7733,ff_e_filt,0,%
0.7733,ff_f_q10,1,-
0.7733,ff_mode,3,-
0.7733,ff_status,255,-
0.7733,ff_e_raw,0,%
0.7733,ff_t_fuel,-40,degC
0.7733,ff_frame_ctr,0,-
0.7733,ff_fw_ver,0,-
0.7733,ff_cal_mode,1,-
0.7733,ff_cal_ok,1,-
0.7733,ff_age_ticks,0.78,s
0.7733,ff_hold_ticks,0,s
0.7733,ff_frames,0,count
0.7733,ff_faults,0,count
0.7733,ff_stall,0,count
0.7733,ff_src_owner,1,-
0.7733,ff_src_seen,1,-
0.7733,ff_src_foreign,0,count
0.7733,ff_ticks,78,count
0.7733,ff_e_key,0,%
0.7733,ff_e_frac,0,-
0.7733,ff_frame_bad,0,-
0.7733,ff_dzw_e,0,degCA
0.7733,ff_fzw_q8,0,-
0.7733,ff_rk_calls,34,count
0.7733,ff_e_persist,0,%
0.7733,ff_persist_state,0,-
0.7733,ff_persist_err,2,-
0.7733,ff_diag_e_pct,0,%
0.7733,ff_diag_f_pct,100,%
0.7733,ff_diag_t_degc,-40,degC
0.7733,ff_persist_wait,59.22,s
0.7733,ff_persist_writes,0,count
0.7733,ff_persist_fails,0,count
0.7733,eep_blk8_mirror_b0,0,%
0.7733,eep_blk8_mirror_b14,0,-
0.7733,eep_blk8_mirror_b29,0,-
0.7733,eep_blk8_mirror_csum,0,-
0.7733,nvm_queue_state,0,-
0.7733,raster_setA_10ms_count,78,count
0.7733,raster_setB_10ms_count,0,count
0.7733,raster_setB_1ms_count,0,count
0.7733,rk_fuel_mass,1078,-
0.7733,ti_sum,157286,ms
0.7733,dwi_inj_angle,7.5,degCA
0.7733,zwist_display_b1,15,degCA
0.7733,dwkrz_0,0,degCA
0.7733,dwkrz_1,0,degCA
0.7733,dwkrz_2,0,degCA
0.7733,dwkrz_3,0,degCA
0.7733,dwkrz_4,0,degCA
0.7733,dwkrz_5,0,degCA
0.7733,wkrm,0,degCA
0.7733,zw_low_octane_latch,0,-
0.7733,rl_w,23.6084,%
0.7733,prist_w,60,bar
0.7733,nmot_w,971.5,rpm
0.7733,rl_for_fuel,23.6084,%
0.7733,tmot,20.25,degC
0.7733,can_rx_spare0_b0,0,%
0.7733,can_rx_spare0_ctr,0,-
1.1001,ff_magic,1179004977,-
1.1001,ff_length,64,B
1.1001,ff_csum,65047,-
1.1001,ff_e_filt,0,%
1.1001,ff_f_q10,1,-
1.1001,ff_mode,3,-
1.1001,ff_status,255,-
1.1001,ff_e_raw,0,%
1.1001,ff_t_fuel,-40,degC
1.1001,ff_frame_ctr,0,-
1.1001,ff_fw_ver,0,-
1.1001,ff_cal_mode,1,-
1.1001,ff_cal_ok,1,-
1.1001,ff_age_ticks,1.11,s
1.1001,ff_hold_ticks,0,s
1.1001,ff_frames,0,count
1.1001,ff_faults,0,count
1.1001,ff_stall,0,count
1.1001,ff_src_owner,1,-
1.1001,ff_src_seen,1,-
1.1001,ff_src_foreign,0,count
1.1001,ff_ticks,111,count
1.1001,ff_e_key,0,%
1.1001,ff_e_frac,0,-
1.1001,ff_frame_bad,0,-
1.1001,ff_dzw_e,0,degCA
1.1001,ff_fzw_q8,0,-
1.1001,ff_rk_calls,51,count
1.1001,ff_e_persist,0,%
1.1001,ff_persist_state,0,-
1.1001,ff_persist_err,2,-
1.1001,ff_diag_e_pct,0,%
1.1001,ff_diag_f_pct,100,%
1.1001,ff_diag_t_degc,-40,degC
1.1001,ff_persist_wait,58.89,s
1.1001,ff_persist_writes,0,count
1.1001,ff_persist_fails,0,count
1.1001,eep_blk8_mirror_b0,0,%
1.1001,eep_blk8_mirror_b14,0,-
1.1001,eep_blk8_mirror_b29,0,-
1.1001,eep_blk8_mirror_csum,0,-
1.1001,nvm_queue_state,0,-
1.1001,raster_setA_10ms_count,111,count
1.1001,raster_setB_10ms_count,0,count
1.1001,raster_setB_1ms_count,0,count
1.1001,rk_fuel_mass,1135,-
1.1001,ti_sum,157286,ms
1.1001,dwi_inj_angle,7.5,degCA
1.1001,zwist_display_b1,15,degCA
1.1001,dwkrz_0,0,degCA
1.1001,dwkrz_1,0,degCA
1.1001,dwkrz_2,0,degCA
1.1001,dwkrz_3,0,degCA
1.1001,dwkrz_4,0,degCA
1.1001,dwkrz_5,0,degCA
1.1001,wkrm,0,degCA
1.1001,zw_low_octane_latch,0,-
1.1001,rl_w,25.9766,%
1.1001,prist_w,60,bar
1.1001,nmot_w,1044,rpm
1.1001,rl_for_fuel,25.9766,%
1.1001,tmot,20.25,degC
1.1001,can_rx_spare0_b0,0,%
1.1001,can_rx_spare0_ctr,0,-
1.4378,ff_magic,1179004977,-
1.4378,ff_length,64,B
1.4378,ff_csum,64979,-
1.4378,ff_e_filt,0,%
1.4378,ff_f_q10,1,-
1.4378,ff_mode,3,-
1.4378,ff_status,255,-
1.4378,ff_e_raw,0,%
1.4378,ff_t_fuel,-40,degC
1.4378,ff_frame_ctr,0,-
1.4378,ff_fw_ver,0,-
1.4378,ff_cal_mode,1,-
1.4378,ff_cal_ok,1,-
1.4378,ff_age_ticks,1.45,s
1.4378,ff_hold_ticks,0,s
1.4378,ff_frames,0,count
1.4378,ff_faults,0,count
1.4378,ff_stall,0,count
1.4378,ff_src_owner,1,-
1.4378,ff_src_seen,1,-
1.4378,ff_src_foreign,0,count
1.4378,ff_ticks,145,count
1.4378,ff_e_key,0,%
1.4378,ff_e_frac,0,-
1.4378,ff_frame_bad,0,-
1.4378,ff_dzw_e,0,degCA
1.4378,ff_fzw_q8,0,-
1.4378,ff_rk_calls,69,count
1.4378,ff_e_persist,0,%
1.4378,ff_persist_state,0,-
1.4378,ff_persist_err,2,-
1.4378,ff_diag_e_pct,0,%
1.4378,ff_diag_f_pct,100,%
1.4378,ff_diag_t_degc,-40,degC
1.4378,ff_persist_wait,58.55,s
1.4378,ff_persist_writes,0,count
1.4378,ff_persist_fails,0,count
1.4378,eep_blk8_mirror_b0,0,%
1.4378,eep_blk8_mirror_b14,0,-
1.4378,eep_blk8_mirror_b29,0,-
1.4378,eep_blk8_mirror_csum,0,-
1.4378,nvm_queue_state,0,-
1.4378,raster_setA_10ms_count,145,count
1.4378,raster_setB_10ms_count,0,count
1.4378,raster_setB_1ms_count,0,count
1.4378,rk_fuel_mass,1194,-
1.4378,ti_sum,157286,ms
1.4378,dwi_inj_angle,7.5,degCA
1.4378,zwist_display_b1,15,degCA
1.4378,dwkrz_0,0,degCA
1.4378,dwkrz_1,0,degCA
1.4378,dwkrz_2,0,degCA
1.4378,dwkrz_3,0,degCA
1.4378,dwkrz_4,0,degCA
1.4378,dwkrz_5,0,degCA
1.4378,wkrm,0,degCA
1.4378,zw_low_octane_latch,0,-
1.4378,rl_w,28.418,%
1.4378,prist_w,60,bar
1.4378,nmot_w,1119,rpm
1.4378,rl_for_fuel,28.418,%
1.4378,tmot,20.25,degC
1.4378,can_rx_spare0_b0,0,%
1.4378,can_rx_spare0_ctr,0,-
1.7725,ff_magic,1179004977,-
1.7725,ff_length,64,B
1.7725,ff_csum,64913,-
1.7725,ff_e_filt,0,%
1.7725,ff_f_q10,1,-
1.7725,ff_mode,3,-
1.7725,ff_status,255,-
1.7725,ff_e_raw,0,%
1.7725,ff_t_fuel,-40,degC
1.7725,ff_frame_ctr,0,-
1.7725,ff_fw_ver,0,-
1.7725,ff_cal_mode,1,-
1.7725,ff_cal_ok,1,-
1.7725,ff_age_ticks,1.78,s
1.7725,ff_hold_ticks,0,s
1.7725,ff_frames,0,count
