# session: ff_fuel, 2026-09-17T15:23:58+03:00
# ecu: 03H906032 / 1037382557
# dump_sha256: b15590d3f1874ace3125c5d047c09a686db9b8bb498187663539ebab205609b3
# transport: KWP2000 0x2C/0x21 over TP2.0
# source_file: /Users/carlo/ecu_azx/.claude/worktrees/agent-a018e0e0ede90c99f/logging/sessions/ff_fuel.json
# simulated: true
# simulated_by: logging/ecu_sim.py -- NOT a recording of an ECU
# sim_patch: /Users/carlo/ecu_azx/.claude/worktrees/agent-a018e0e0ede90c99f/patches/ff_fuel
# sim_time_scale: 5
time_s,var,value,unit
0.1551,ff_magic,1179004977,-
0.1551,ff_length,68,B
0.1551,ff_csum,64941,-
0.1551,ff_e_filt,2.125,%
0.1551,ff_f_q10,1.01367,-
0.1551,ff_mode,1,-
0.1551,ff_status,0,-
0.1551,ff_e_raw,85,%
0.1551,ff_t_fuel,25,degC
0.1551,ff_frame_ctr,10,-
0.1551,ff_fw_ver,1,-
0.1551,ff_cal_mode,1,-
0.1551,ff_cal_ok,1,-
0.1551,ff_age_ticks,0.08,s
0.1551,ff_hold_ticks,0,s
0.1551,ff_frames,11,count
0.1551,ff_faults,0,count
0.1551,ff_stall,0,count
0.1551,ff_src_owner,1,-
0.1551,ff_src_seen,1,-
0.1551,ff_src_foreign,0,count
0.1551,ff_ticks,108,count
0.1551,ff_e_key,0,%
0.1551,ff_e_frac,500,-
0.1551,ff_frame_bad,0,-
0.1551,ff_dzw_e,0,degCA
0.1551,ff_fzw_q8,0,-
0.1551,ff_rk_calls,49,count
0.1551,ff_e_persist,0,%
0.1551,ff_persist_state,0,-
0.1551,ff_persist_err,2,-
0.1551,ff_diag_e_pct,2,%
0.1551,ff_diag_f_pct,101,%
0.1551,ff_diag_t_degc,25,degC
0.1551,ff_persist_wait,58.92,s
0.1551,ff_persist_writes,0,count
0.1551,ff_persist_fails,0,count
0.1551,eep_blk8_mirror_b0,0,%
0.1551,eep_blk8_mirror_b14,0,-
0.1551,eep_blk8_mirror_b29,0,-
0.1551,eep_blk8_mirror_csum,0,-
0.1551,nvm_queue_state,0,-
0.1551,raster_setA_10ms_count,108,count
0.1551,raster_setB_10ms_count,0,count
0.1551,raster_setB_1ms_count,0,count
0.1551,rk_fuel_mass,1182,-
