# session: ff_fuel, 2026-09-22T20:03:22+03:00
# ecu: 03H906032 / 1037382557
# dump_sha256: b15590d3f1874ace3125c5d047c09a686db9b8bb498187663539ebab205609b3
# transport: KWP2000 0x2C/0x21 over TP2.0
# source_file: /Users/carlo/ecu_azx/.claude/worktrees/agent-a75332f8901c56fe1/logging/sessions/ff_fuel.json
# simulated: true
# simulated_by: logging/ecu_sim.py -- NOT a recording of an ECU
# sim_patch: /Users/carlo/ecu_azx/.claude/worktrees/agent-a75332f8901c56fe1/patches/ff_fuel
# sim_time_scale: 5
time_s,var,value,unit
0.2058,ff_magic,1179004977,-
0.2058,ff_length,76,B
0.2058,ff_csum,64348,-
0.2058,ff_e_filt,0,%
0.2058,ff_f_q10,1,-
0.2058,ff_mode,3,-
0.2058,ff_status,3,-
0.2058,ff_e_raw,85,%
0.2058,ff_t_fuel,25,degC
0.2058,ff_frame_ctr,14,-
0.2058,ff_fw_ver,1,-
0.2058,ff_cal_mode,1,-
0.2058,ff_cal_ok,1,-
0.2058,ff_age_ticks,1.42,s
0.2058,ff_hold_ticks,0,s
0.2058,ff_frames,0,count
0.2058,ff_faults,0,count
0.2058,ff_stall,0,count
0.2058,ff_src_owner,1,-
0.2058,ff_src_seen,1,-
0.2058,ff_src_foreign,0,count
0.2058,ff_ticks,142,count
0.2058,ff_e_key,0,%
0.2058,ff_e_frac,0,-
0.2058,ff_frame_bad,1,-
0.2058,ff_dzw_e,0,degCA
0.2058,ff_fzw_q8,0,-
0.2058,ff_rk_calls,67,count
0.2058,ff_e_persist,0,%
0.2058,ff_persist_state,0,-
0.2058,ff_persist_err,2,-
0.2058,ff_diag_e_pct,0,%
0.2058,ff_diag_f_pct,100,%
0.2058,ff_diag_t_degc,25,degC
0.2058,ff_persist_wait,58.58,s
0.2058,ff_persist_writes,0,count
0.2058,ff_persist_fails,0,count
0.2058,eep_blk8_mirror_b0,0,%
0.2058,eep_blk8_mirror_b1,0,%
0.2058,eep_blk8_mirror_b2,0,%
0.2058,eep_blk8_mirror_b14,0,-
0.2058,eep_blk8_mirror_b29,0,-
0.2058,eep_blk8_mirror_csum,0,-
0.2058,nvm_queue_state,0,-
0.2058,raster_setA_10ms_count,142,count
0.2058,raster_setB_10ms_count,0,count
0.2058,raster_setB_1ms_count,0,count
0.2058,rk_fuel_mass,1244,-
0.2058,zwist_display_b1,15,degCA
0.2058,dwkrz_0,0,degCA
0.2058,dwkrz_1,0,degCA
0.2058,dwkrz_2,0,degCA
0.2058,dwkrz_3,0,degCA
0.2058,dwkrz_4,0,degCA
0.2058,dwkrz_5,0,degCA
0.2058,wkrm,0,degCA
0.2058,zw_low_octane_latch,0,-
0.2058,rl_w,28.2227,%
0.2058,nmot_w,1112.25,rpm
0.2058,rl_for_fuel,28.2227,%
0.2058,tmot,20.25,degC
0.2058,can_rx_spare0_b0,85,%
0.2058,can_rx_spare0_ctr,19,-
0.2058,ff_fst_q10,1,-
0.2058,ff_zwst_add,0,degCA
0.2058,tmst,-48,degC
0.2058,ksta_adapted,1,-
0.2058,zwstt,0,degCA
0.2058,B_st,0,-
0.2058,B_stend,0,-
0.2058,anztist,0,count
0.2058,zdgz,0,count
0.2058,tnst_w,0,count
0.2058,fr_w_b1,0,-
0.2058,rlsol_req,0,%
0.2058,rl_max_arb,0.195312,%
0.2058,ff_msv_sat_ticks,0,count
0.2058,ff_prail_add,0,bar
0.2058,ff_win_margin_min,-2.8125,degCA
0.2058,ff_prist_min,60,bar
0.2058,ff_diag_ticks,58,count
0.2058,prsoll_raw,0,bar
0.2058,prsoll_clamped,0,bar
0.2058,prsoll_rate,0,bar
0.2058,prsoll_w,61,bar
0.2058,prist_w,60,bar
0.2058,prdiff,0,bar
0.2058,vhdp_spare,16,-
0.2058,vmsv_limited,512,-
0.2058,wbho1s_w,4.6875,degCA
0.2058,dwi_inj_angle,7.5,degCA
0.2058,win_margin_req,0,0.75 degCA
0.2058,ti_sum,2400,us
0.5488,ff_magic,1179004977,-
0.5488,ff_length,76,B
0.5488,ff_csum,64632,-
0.5488,ff_e_filt,0,%
0.5488,ff_f_q10,1,-
0.5488,ff_mode,3,-
0.5488,ff_status,3,-
0.5488,ff_e_raw,85,%
0.5488,ff_t_fuel,25,degC
0.5488,ff_frame_ctr,24,-
0.5488,ff_fw_ver,1,-
0.5488,ff_cal_mode,1,-
0.5488,ff_cal_ok,1,-
0.5488,ff_age_ticks,2.58,s
0.5488,ff_hold_ticks,0,s
0.5488,ff_frames,0,count
0.5488,ff_faults,0,count
0.5488,ff_stall,0,count
0.5488,ff_src_owner,1,-
0.5488,ff_src_seen,1,-
0.5488,ff_src_foreign,0,count
0.5488,ff_ticks,258,count
0.5488,ff_e_key,0,%
0.5488,ff_e_frac,0,-
0.5488,ff_frame_bad,1,-
0.5488,ff_dzw_e,0,degCA
0.5488,ff_fzw_q8,0,-
0.5488,ff_rk_calls,139,count
0.5488,ff_e_persist,0,%
0.5488,ff_persist_state,0,-
0.5488,ff_persist_err,2,-
0.5488,ff_diag_e_pct,0,%
0.5488,ff_diag_f_pct,100,%
0.5488,ff_diag_t_degc,25,degC
0.5488,ff_persist_wait,57.42,s
0.5488,ff_persist_writes,0,count
0.5488,ff_persist_fails,0,count
0.5488,eep_blk8_mirror_b0,0,%
0.5488,eep_blk8_mirror_b1,0,%
0.5488,eep_blk8_mirror_b2,0,%
0.5488,eep_blk8_mirror_b14,0,-
0.5488,eep_blk8_mirror_b29,0,-
0.5488,eep_blk8_mirror_csum,0,-
0.5488,nvm_queue_state,0,-
0.5488,raster_setA_10ms_count,257,count
0.5488,raster_setB_10ms_count,0,count
0.5488,raster_setB_1ms_count,0,count
0.5488,rk_fuel_mass,1439,-
0.5488,zwist_display_b1,15,degCA
0.5488,dwkrz_0,0,degCA
0.5488,dwkrz_1,0,degCA
0.5488,dwkrz_2,0,degCA
