# session: pid52 (a scripted KWP conversation, logging/bench_rehearsal.py)
# transport: KWP2000 over TP2.0 (in-process virtual bus)
# simulated: true
# simulated_by: logging/ecu_sim.py -- NOT a recording of an ECU
# sim_patch: /Users/carlo/ecu_azx/.claude/worktrees/agent-a3ebbf8865bd4969b/patches/ff_fuel
# modelled: ff_pid52_enable = 1 written into the emulated FFCAL001 (stands in for a calibration flash); the 01 40 / 01 52 answers and the bitmap rebuild on reconnect are the firmware's
# kwp: t=0.000 -> 10 89  <- 50 89
# kwp: t=0.018 -> 27 03  <- 67 03 12 34 56 78
# kwp: t=0.036 -> 27 04 12 35 67 e8  <- 67 04 34
# kwp: t=0.055 -> 10 86  <- 50 86
# kwp: t=0.067 -> 01 40  <- 7f 01 10
# kwp: t=0.079 -> 01 52  <- 7f 01 10
# step: ff_pid52_enable := 1 in the emulated FFCAL001
# kwp: t=0.091 -> 01 40  <- 7f 01 10
# kwp: t=0.097 -> 01 52  <- 41 52 00
# kwp: t=0.108 -> 10 89  <- 50 89
# kwp: t=0.110 -> 27 03  <- 67 03 12 34 56 78
# kwp: t=0.116 -> 27 04 12 35 67 e8  <- 67 04 34
# kwp: t=0.125 -> 10 86  <- 50 86
# kwp: t=0.126 -> 01 40  <- 41 40 00 00 40 00
# kwp: t=0.133 -> 01 52  <- 41 52 00
time_s,var,value,unit
0.0787,shipped_0140_positive,0,-
0.0787,shipped_0140_bit52,0,-
0.0895,shipped_0152_positive,0,-
0.0965,same_connection_0140_positive,0,-
0.0965,same_connection_0140_bit52,0,-
0.0985,same_connection_0152_positive,1,-
0.0985,same_connection_0152_a,0,-
0.1331,reconnected_0140_positive,1,-
0.1332,reconnected_0140_bit52,1,-
0.1376,reconnected_0152_positive,1,-
0.1376,reconnected_0152_a,0,-
0.1376,connections,2,-
