# stock run 1 of 2: same scenario, first power-up
# ecu: 03H906032 / 1037382557 (synthetic, not a real recording)
# dump_sha256: b15590d3f1874ace3125c5d047c09a686db9b8bb498187663539ebab205609b3
# transport: synthetic
# power_up_offset: raster_setA_10ms_count = 14830 at t = 0, i.e. 0.000 s of ECU time into the scenario
time_s,var,value,unit
0.000,B_stend,1.0000,bit
0.000,lamsoni_w,0.9980,-
0.000,nmot_w,780.4992,rpm
0.000,raster_setA_10ms_count,14830,count
0.000,rl_w,16.7735,%
0.000,ti_1_w,1.4921,ms
0.000,tmot_w,81.8459,degC
0.000,wkr_w,0.0388,degKW
0.050,lamsoni_w,1.0020,-
0.050,nmot_w,785.6951,rpm
0.050,raster_setA_10ms_count,14835,count
0.050,rl_w,16.7019,%
0.050,ti_1_w,1.4946,ms
0.050,wkr_w,0.1082,degKW
0.100,lamsoni_w,1.0001,-
0.100,nmot_w,791.3328,rpm
0.100,raster_setA_10ms_count,14840,count
0.100,rl_w,17.0142,%
0.100,ti_1_w,1.4948,ms
0.100,wkr_w,0.0490,degKW
0.150,lamsoni_w,0.9990,-
0.150,nmot_w,789.9891,rpm
0.150,raster_setA_10ms_count,14845,count
0.150,rl_w,16.8571,%
0.150,ti_1_w,1.4924,ms
0.150,wkr_w,-0.0712,degKW
0.200,lamsoni_w,1.0001,-
0.200,nmot_w,795.2552,rpm
0.200,raster_setA_10ms_count,14850,count
0.200,rl_w,17.3647,%
0.200,ti_1_w,1.4945,ms
0.200,wkr_w,-0.1255,degKW
0.250,lamsoni_w,0.9987,-
0.250,nmot_w,795.0727,rpm
0.250,raster_setA_10ms_count,14855,count
0.250,rl_w,17.1347,%
0.250,ti_1_w,1.4996,ms
0.250,wkr_w,-0.1468,degKW
0.300,lamsoni_w,1.0026,-
0.300,nmot_w,802.6348,rpm
0.300,raster_setA_10ms_count,14860,count
0.300,rl_w,16.6357,%
0.300,ti_1_w,1.4953,ms
0.300,wkr_w,0.0851,degKW
0.350,lamsoni_w,0.9979,-
0.350,nmot_w,798.8573,rpm
0.350,raster_setA_10ms_count,14865,count
0.350,rl_w,16.7098,%
0.350,ti_1_w,1.4914,ms
0.350,wkr_w,-0.0933,degKW
0.400,lamsoni_w,1.0017,-
0.400,nmot_w,797.2847,rpm
0.400,raster_setA_10ms_count,14870,count
0.400,rl_w,17.2245,%
0.400,ti_1_w,1.5029,ms
0.400,wkr_w,0.1073,degKW
0.450,lamsoni_w,0.9979,-
0.450,nmot_w,788.1349,rpm
0.450,raster_setA_10ms_count,14875,count
0.450,rl_w,17.3691,%
0.450,ti_1_w,1.4872,ms
0.450,wkr_w,0.1122,degKW
0.500,B_stend,1.0000,bit
0.500,lamsoni_w,0.9963,-
0.500,nmot_w,777.5730,rpm
0.500,raster_setA_10ms_count,14880,count
0.500,rl_w,16.8324,%
0.500,ti_1_w,1.4917,ms
0.500,tmot_w,82.3279,degC
0.500,wkr_w,0.0590,degKW
0.550,lamsoni_w,0.9977,-
0.550,nmot_w,771.0690,rpm
0.550,raster_setA_10ms_count,14885,count
0.550,rl_w,17.3289,%
0.550,ti_1_w,1.4990,ms
0.550,wkr_w,0.1135,degKW
0.600,lamsoni_w,1.0037,-
0.600,nmot_w,773.7683,rpm
0.600,raster_setA_10ms_count,14890,count
0.600,rl_w,17.0806,%
0.600,ti_1_w,1.4957,ms
0.600,wkr_w,0.1238,degKW
0.650,lamsoni_w,0.9978,-
0.650,nmot_w,768.1382,rpm
0.650,raster_setA_10ms_count,14895,count
0.650,rl_w,17.0078,%
0.650,ti_1_w,1.5023,ms
0.650,wkr_w,-0.0566,degKW
0.700,lamsoni_w,0.9980,-
0.700,nmot_w,756.5931,rpm
0.700,raster_setA_10ms_count,14900,count
0.700,rl_w,17.0214,%
0.700,ti_1_w,1.5003,ms
0.700,wkr_w,0.0137,degKW
0.750,lamsoni_w,0.9990,-
0.750,nmot_w,761.8076,rpm
0.750,raster_setA_10ms_count,14905,count
0.750,rl_w,16.9490,%
0.750,ti_1_w,1.4878,ms
0.750,wkr_w,0.1150,degKW
0.800,lamsoni_w,0.9962,-
0.800,nmot_w,761.5438,rpm
0.800,raster_setA_10ms_count,14910,count
0.800,rl_w,16.7897,%
0.800,ti_1_w,1.4964,ms
0.800,wkr_w,0.0083,degKW
0.850,lamsoni_w,1.0031,-
0.850,nmot_w,761.6828,rpm
0.850,raster_setA_10ms_count,14915,count
0.850,rl_w,17.0457,%
0.850,ti_1_w,1.4890,ms
0.850,wkr_w,0.1125,degKW
0.900,lamsoni_w,0.9977,-
0.900,nmot_w,759.0232,rpm
0.900,raster_setA_10ms_count,14920,count
0.900,rl_w,17.2755,%
0.900,ti_1_w,1.4988,ms
0.900,wkr_w,-0.0789,degKW
0.950,lamsoni_w,0.9984,-
0.950,nmot_w,770.0159,rpm
0.950,raster_setA_10ms_count,14925,count
0.950,rl_w,17.0142,%
