# stock run 2 of 2: the same scenario one power-up later (logger started 0.25 s of ECU time further in)
# ecu: 03H906032 / 1037382557 (synthetic, not a real recording)
# dump_sha256: b15590d3f1874ace3125c5d047c09a686db9b8bb498187663539ebab205609b3
# transport: synthetic
# power_up_offset: raster_setA_10ms_count = 14855 at t = 0, i.e. 0.250 s of ECU time into the scenario
time_s,var,value,unit
0.000,B_stend,1.0000,bit
0.000,lamsoni_w,0.9969,-
0.000,nmot_w,794.6155,rpm
0.000,raster_setA_10ms_count,14855,count
0.000,rl_w,17.1900,%
0.000,ti_1_w,1.4921,ms
0.000,tmot_w,82.1157,degC
0.000,wkr_w,-0.0089,degKW
0.050,lamsoni_w,1.0030,-
0.050,nmot_w,795.1236,rpm
0.050,raster_setA_10ms_count,14860,count
0.050,rl_w,16.8719,%
0.050,ti_1_w,1.4886,ms
0.050,wkr_w,0.0687,degKW
0.100,lamsoni_w,1.0006,-
0.100,nmot_w,793.8208,rpm
0.100,raster_setA_10ms_count,14865,count
0.100,rl_w,16.6655,%
0.100,ti_1_w,1.4965,ms
0.100,wkr_w,-0.1491,degKW
0.150,lamsoni_w,1.0014,-
0.150,nmot_w,796.7808,rpm
0.150,raster_setA_10ms_count,14870,count
0.150,rl_w,16.6794,%
0.150,ti_1_w,1.4899,ms
0.150,wkr_w,0.0012,degKW
0.200,lamsoni_w,0.9969,-
0.200,nmot_w,787.5315,rpm
0.200,raster_setA_10ms_count,14875,count
0.200,rl_w,17.2862,%
0.200,ti_1_w,1.4932,ms
0.200,wkr_w,-0.0153,degKW
0.250,lamsoni_w,0.9977,-
0.250,nmot_w,785.0034,rpm
0.250,raster_setA_10ms_count,14880,count
0.250,rl_w,17.1941,%
0.250,ti_1_w,1.4947,ms
0.250,wkr_w,0.0370,degKW
0.300,lamsoni_w,1.0032,-
0.300,nmot_w,778.9928,rpm
0.300,raster_setA_10ms_count,14885,count
0.300,rl_w,16.7056,%
0.300,ti_1_w,1.4925,ms
0.300,wkr_w,-0.0610,degKW
0.350,lamsoni_w,0.9980,-
0.350,nmot_w,773.0479,rpm
0.350,raster_setA_10ms_count,14890,count
0.350,rl_w,16.6091,%
0.350,ti_1_w,1.4907,ms
0.350,wkr_w,-0.0390,degKW
0.400,lamsoni_w,0.9960,-
0.400,nmot_w,766.4124,rpm
0.400,raster_setA_10ms_count,14895,count
0.400,rl_w,17.3514,%
0.400,ti_1_w,1.4870,ms
0.400,wkr_w,0.0541,degKW
0.450,lamsoni_w,0.9998,-
0.450,nmot_w,765.1987,rpm
0.450,raster_setA_10ms_count,14900,count
0.450,rl_w,17.0586,%
0.450,ti_1_w,1.5000,ms
0.450,wkr_w,0.1296,degKW
0.500,B_stend,1.0000,bit
0.500,lamsoni_w,0.9974,-
0.500,nmot_w,755.8343,rpm
0.500,raster_setA_10ms_count,14905,count
0.500,rl_w,17.3374,%
0.500,ti_1_w,1.4994,ms
0.500,tmot_w,82.1634,degC
0.500,wkr_w,0.1271,degKW
0.550,lamsoni_w,0.9973,-
0.550,nmot_w,756.8753,rpm
0.550,raster_setA_10ms_count,14910,count
0.550,rl_w,17.2760,%
0.550,ti_1_w,1.4893,ms
0.550,wkr_w,0.0863,degKW
0.600,lamsoni_w,1.0031,-
0.600,nmot_w,759.7605,rpm
0.600,raster_setA_10ms_count,14915,count
0.600,rl_w,16.9549,%
0.600,ti_1_w,1.4875,ms
