addr,kind,x_axis_addr,y_axis_addr,x_n,y_n,elem_size,signed,consumer_func,name_or_blank,confidence,evidence,x_elem,y_elem,struct_addr,sites
0x5E2518,scalar,,,1,,2,0,ff_fuel@patches/ff_fuel,ff_cal_version,static,"D1 issue #32, patches/ff_fuel (FFCAL001 at 0x5E2510, built by patches/ff_fuel/ffcal001.py); layout asserted by tests/test_ff_fuel_patch.py; FFCAL001 header: format version, must be 1",,,,1
0x5E251A,scalar,,,1,,2,0,ff_fuel@patches/ff_fuel,ff_cal_length,static,"D1 issue #32, patches/ff_fuel (FFCAL001 at 0x5E2510, built by patches/ff_fuel/ffcal001.py); layout asserted by tests/test_ff_fuel_patch.py; FFCAL001 header: block length, 266 B including the checksum",,,,1
0x5E251C,scalar,,,1,,2,0,ff_fuel@patches/ff_fuel,ff_can_id,static,"D1 issue #32, patches/ff_fuel (FFCAL001 at 0x5E2510, built by patches/ff_fuel/ffcal001.py); layout asserted by tests/test_ff_fuel_patch.py; CAN id of the Pico frame; documentation, and the id echo at 0x803F98 is compared against it [-]",,,,1
0x5E251E,scalar,,,1,,2,0,ff_fuel@patches/ff_fuel,ff_timeout_ms,static,"D1 issue #32, patches/ff_fuel (FFCAL001 at 0x5E2510, built by patches/ff_fuel/ffcal001.py); layout asserted by tests/test_ff_fuel_patch.py; no good frame for this long -> FAULT [ms]",,,,1
0x5E2520,scalar,,,1,,2,0,ff_fuel@patches/ff_fuel,ff_hold_s,static,"D1 issue #32, patches/ff_fuel (FFCAL001 at 0x5E2510, built by patches/ff_fuel/ffcal001.py); layout asserted by tests/test_ff_fuel_patch.py; FAULT: hold the last F for this long before decaying [s]",,,,1
0x5E2522,scalar,,,1,,2,0,ff_fuel@patches/ff_fuel,ff_filter_tau_ms,static,"D1 issue #32, patches/ff_fuel (FFCAL001 at 0x5E2510, built by patches/ff_fuel/ffcal001.py); layout asserted by tests/test_ff_fuel_patch.py; first-order time constant of the E filter [ms]",,,,1
0x5E2524,scalar,,,1,,2,0,ff_fuel@patches/ff_fuel,ff_slew_pct_s,static,"D1 issue #32, patches/ff_fuel (FFCAL001 at 0x5E2510, built by patches/ff_fuel/ffcal001.py); layout asserted by tests/test_ff_fuel_patch.py; maximum |dE/dt|; clamped to 1..100 in code [%/s]",,,,1
0x5E2526,scalar,,,1,,2,0,ff_fuel@patches/ff_fuel,ff_tick_ms,static,"D1 issue #32, patches/ff_fuel (FFCAL001 at 0x5E2510, built by patches/ff_fuel/ffcal001.py); layout asserted by tests/test_ff_fuel_patch.py; real period of the periodic hook (10 ms, C4 #44) [ms]",,,,1
0x5E2528,scalar,,,1,,1,0,ff_fuel@patches/ff_fuel,ff_mode,static,"D1 issue #32, patches/ff_fuel (FFCAL001 at 0x5E2510, built by patches/ff_fuel/ffcal001.py); layout asserted by tests/test_ff_fuel_patch.py; 0 off (F = 1.000, no CAN), 1 normal, 2 bench override [-]",,,,1
0x5E2529,scalar,,,1,,1,0,ff_fuel@patches/ff_fuel,ff_e_override,static,"D1 issue #32, patches/ff_fuel (FFCAL001 at 0x5E2510, built by patches/ff_fuel/ffcal001.py); layout asserted by tests/test_ff_fuel_patch.py; ethanol % used in mode 2 [%]",,,,1
0x5E252A,scalar,,,1,,1,0,ff_fuel@patches/ff_fuel,ff_stall_max,static,"D1 issue #32, patches/ff_fuel (FFCAL001 at 0x5E2510, built by patches/ff_fuel/ffcal001.py); layout asserted by tests/test_ff_fuel_patch.py; frames with an unchanged counter -> FAULT [frames]",,,,1
0x5E252B,scalar,,,1,,1,0,ff_fuel@patches/ff_fuel,ff_persist_enable,static,"D1 issue #32, patches/ff_fuel (FFCAL001 at 0x5E2510, built by patches/ff_fuel/ffcal001.py); layout asserted by tests/test_ff_fuel_patch.py; D2 (#33): 1 = store E% in EEPROM block 8 [-]",,,,1
0x5E252C,scalar,,,1,,1,0,ff_fuel@patches/ff_fuel,ff_persist_hyst_pct,static,"D1 issue #32, patches/ff_fuel (FFCAL001 at 0x5E2510, built by patches/ff_fuel/ffcal001.py); layout asserted by tests/test_ff_fuel_patch.py; D2: minimum E% change before a commit [%]",,,,1
0x5E252D,scalar,,,1,,1,0,ff_fuel@patches/ff_fuel,ff_persist_block,static,"D1 issue #32, patches/ff_fuel (FFCAL001 at 0x5E2510, built by patches/ff_fuel/ffcal001.py); layout asserted by tests/test_ff_fuel_patch.py; D2: EEP_CONF block number (eeprom.md section 5) [-]",,,,1
0x5E252E,scalar,,,1,,1,0,ff_fuel@patches/ff_fuel,ff_persist_offset,static,"D1 issue #32, patches/ff_fuel (FFCAL001 at 0x5E2510, built by patches/ff_fuel/ffcal001.py); layout asserted by tests/test_ff_fuel_patch.py; D2: payload offset inside that block [-]",,,,1
0x5E252F,scalar,,,1,,1,0,ff_fuel@patches/ff_fuel,ff_persist_rate_s,static,"D1 issue #32, patches/ff_fuel (FFCAL001 at 0x5E2510, built by patches/ff_fuel/ffcal001.py); layout asserted by tests/test_ff_fuel_patch.py; D2: minimum seconds between two commits [s]",,,,1
0x5E25F6,scalar,,,1,,1,0,ff_fuel@patches/ff_fuel,ff_zw_enable,static,"D1 issue #32, patches/ff_fuel (FFCAL001 at 0x5E2510, built by patches/ff_fuel/ffcal001.py); layout asserted by tests/test_ff_fuel_patch.py; E1 (#34): 1 = apply the ignition blend; 0 (shipped) makes dzw_e permanently 0 [-]",,,,1
0x5E25F7,scalar,,,1,,1,0,ff_fuel@patches/ff_fuel,ff_dzw_max,static,"D1 issue #32, patches/ff_fuel (FFCAL001 at 0x5E2510, built by patches/ff_fuel/ffcal001.py); layout asserted by tests/test_ff_fuel_patch.py; E1: |dzw_e| ceiling in counts; clamped to FF_DZW_HARD_MAX (16) in code [0.75 degCA]",,,,1
0x5E2530,curve_1d,,,17,,2,0,ff_fuel@patches/ff_fuel,ff_F_curve,static,"D1 issue #32, patches/ff_fuel (FFCAL001 at 0x5E2510, built by patches/ff_fuel/ffcal001.py); layout asserted by tests/test_ff_fuel_patch.py; fuel MASS factor over ethanol %, 17 points 0..100 step 6.25; F(0) = 1024 is bit-identical to stock; read by ff_f_of() every activation [1/1024]",,,,1
0x5E2552,curve_1d,,,17,,1,0,ff_fuel@patches/ff_fuel,ff_fzw_curve,static,"D1 issue #32, patches/ff_fuel (FFCAL001 at 0x5E2510, built by patches/ff_fuel/ffcal001.py); layout asserted by tests/test_ff_fuel_patch.py; E1 (#34): ignition blend factor over ethanol %, 17 points 0..100 step 6.25. f_zw(0) = 0 is what makes E0 bit-identical for the ignition too; 255 = 0.996 is the u8 maximum and the plateau from E50 on [1/256]",,,,1
0x5E2564,map_2d,0x5E2608,0x5E25F8,8,8,1,1,ff_fuel@patches/ff_fuel,ff_dzw_map,static,"D1 issue #32, patches/ff_fuel (FFCAL001 at 0x5E2510, built by patches/ff_fuel/ffcal001.py); layout asserted by tests/test_ff_fuel_patch.py; E1 (#34): 8 nmot rows x 8 rl columns of ignition ADVANCE at f_zw = 1, read as interp_2d_s8(val, nx=8, key_nmot, key_rl). ALL ZERO as shipped, so the file is inert even with ff_zw_enable = 1; calibrate it from +0 towards +2 degCA only in cells where dwkrz stays 0 [0.75 degCA]",u16,u16,,1
0x5E25A4,map_2d_data,,,6,6,2,0,ff_fuel@patches/ff_fuel,ff_fst_map,static,"D1 issue #32, patches/ff_fuel (FFCAL001 at 0x5E2510, built by patches/ff_fuel/ffcal001.py); layout asserted by tests/test_ff_fuel_patch.py; RESERVED 6x6 start/warm-up factor (docs/05 section 3.5); neutral 1024 [1/1024]",,,,1
0x5E25EC,curve_1d,,,8,,1,0,ff_fuel@patches/ff_fuel,ff_prail_add,static,"D1 issue #32, patches/ff_fuel (FFCAL001 at 0x5E2510, built by patches/ff_fuel/ffcal001.py); layout asserted by tests/test_ff_fuel_patch.py; RESERVED rail-pressure adder over ethanol % (docs/05 section 3.6); neutral 0 [0.1 MPa]",,,,1
0x5E25F8,axis,,,8,,2,0,ff_fuel@patches/ff_fuel,ff_dzw_nmot_axis,static,"D1 issue #32, patches/ff_fuel (FFCAL001 at 0x5E2510, built by patches/ff_fuel/ffcal001.py); layout asserted by tests/test_ff_fuel_patch.py; E1 (#34): the 8 row breakpoints of ff_dzw_map, every other breakpoint of the stock KFZW nmot axis 0x5C7736 (520..6520 rpm), so a cell lines up with a stock KFZW row [0.25 rpm]",,,,1
0x5E2608,axis,,,8,,2,0,ff_fuel@patches/ff_fuel,ff_dzw_rl_axis,static,"D1 issue #32, patches/ff_fuel (FFCAL001 at 0x5E2510, built by patches/ff_fuel/ffcal001.py); layout asserted by tests/test_ff_fuel_patch.py; E1 (#34): the 8 column breakpoints of ff_dzw_map, eight of the twelve breakpoints of the stock KFZW rl axis 0x5C7758 (10.2..103.9 %) [100/4096 %]",,,,1
0x5E2618,scalar,,,1,,2,0,ff_fuel@patches/ff_fuel,ff_cal_crc,static,"D1 issue #32, patches/ff_fuel (FFCAL001 at 0x5E2510, built by patches/ff_fuel/ffcal001.py); layout asserted by tests/test_ff_fuel_patch.py; FFCAL001 header: bit-complement of the 16-bit sum of bytes [0, length-2)",,,,1
