addr,kind,x_axis_addr,y_axis_addr,x_n,y_n,elem_size,signed,consumer_func,name_or_blank,confidence,evidence,x_elem,y_elem,struct_addr,sites
0x5C2000,scalar,,,1,,4,0,FUN_0009dffc@0x09DFFC,,static,enumerate_maps.py; direct load; 1 call site(s): 0x09E020,,,,1
0x5C2004,scalar,,,1,,4,0,FUN_0009ddc8@0x09DDC8 FUN_0009def0@0x09DEF0,,static,enumerate_maps.py; direct load; 2 call site(s): 0x09DDD0 0x09DEF8,,,,2
0x5C2008,scalar,,,1,,4,0,FUN_0009e058@0x09E058 FUN_0009e110@0x09E110,,static,enumerate_maps.py; direct load; 2 call site(s): 0x09E074 0x09E12C,,,,2
0x5C201C,scalar,,,1,,4,0,FUN_0009dffc@0x09DFFC,,static,enumerate_maps.py; direct load; 1 call site(s): 0x09E01C,,,,1
0x5C21A4,scalar,,,1,,1,0,FUN_000172d8@0x0172D8,,static,enumerate_maps.py; direct load; 1 call site(s): 0x0172FC,,,,1
0x5C2244,scalar,,,1,,1,0,FUN_00422584@0x422584,,static,enumerate_maps.py; direct load; 1 call site(s): 0x42258C,,,,1
0x5C22B5,scalar,,,1,,1,0,FUN_00016bf0@0x016BF0,,static,enumerate_maps.py; direct load; 1 call site(s): 0x016C14,,,,1
0x5C22B6,scalar,,,1,,1,0,FUN_00016bf0@0x016BF0,,static,enumerate_maps.py; direct load; 1 call site(s): 0x016CB4,,,,1
0x5C22B8,scalar,,,1,,2,0,FUN_00014ad8@0x014AD8 FUN_00018488@0x018488 cand_tpu_param_scan@0x014604,,static,enumerate_maps.py; direct load; 3 call site(s): 0x01471C 0x014B0C 0x0184C0,,,,3
0x5C22BA,scalar,,,1,,2,0,cand_tpu_param_scan@0x014604,,static,enumerate_maps.py; direct load; 3 call site(s): 0x0147AC 0x014900 0x0149B0,,,,3
0x5C22BC,scalar,,,1,,2,0,cand_tpu_param_scan@0x014604,,static,enumerate_maps.py; direct load; 3 call site(s): 0x014800 0x014918 0x0149B8,,,,3
0x5C22BE,scalar,,,1,,2,0,cand_tpu_param_scan@0x014604,,static,enumerate_maps.py; direct load; 3 call site(s): 0x014850 0x01492C 0x0149C8,,,,3
0x5C22C0,scalar,,,1,,2,0,cand_tpu_param_scan@0x014604,,static,enumerate_maps.py; direct load; 3 call site(s): 0x0148A0 0x014940 0x0149D0,,,,3
0x5C22C2,scalar,,,1,,2,0,cand_tpu_param_scan@0x014604,,static,enumerate_maps.py; direct load; 1 call site(s): 0x01476C,,,,1
0x5C22C4,scalar,,,1,,2,0,cand_tpu_param_scan@0x014604,,static,enumerate_maps.py; direct load; 1 call site(s): 0x014784,,,,1
0x5C22C6,scalar,,,1,,2,0,cand_tpu_param_scan@0x014604,,static,enumerate_maps.py; direct load; 1 call site(s): 0x0147BC,,,,1
0x5C22C8,scalar,,,1,,2,0,cand_tpu_param_scan@0x014604,,static,enumerate_maps.py; direct load; 1 call site(s): 0x0147D8,,,,1
0x5C22CA,scalar,,,1,,2,0,cand_tpu_param_scan@0x014604,,static,enumerate_maps.py; direct load; 1 call site(s): 0x014810,,,,1
0x5C22CC,scalar,,,1,,2,0,cand_tpu_param_scan@0x014604,,static,enumerate_maps.py; direct load; 1 call site(s): 0x014828,,,,1
0x5C22CE,scalar,,,1,,2,0,cand_tpu_param_scan@0x014604,,static,enumerate_maps.py; direct load; 1 call site(s): 0x014860,,,,1
0x5C22D0,scalar,,,1,,2,0,cand_tpu_param_scan@0x014604,,static,enumerate_maps.py; direct load; 1 call site(s): 0x014878,,,,1
0x5C22D2,scalar,,,1,,2,0,FUN_00014414@0x014414 cand_tpu_param_scan@0x014604,,static,enumerate_maps.py; direct load; 2 call site(s): 0x014458 0x014740,,,,2
0x5C22D4,scalar,,,1,,2,0,FUN_00014414@0x014414 cand_tpu_param_scan@0x014604,,static,enumerate_maps.py; direct load; 2 call site(s): 0x014454 0x014754,,,,2
0x5C22D8,scalar,,,1,,4,0,FUN_00013d64@0x013D64,,static,enumerate_maps.py; direct load; 1 call site(s): 0x013E60,,,,1
0x5C22DC,scalar,,,1,,1,0,FUN_00013d64@0x013D64 FUN_00014414@0x014414 FUN_000145f8@0x0145F8 FUN_00018028@0x018028 ...,,static,enumerate_maps.py; direct load; 5 call site(s): 0x013D68 0x014418 0x014600 0x018030 0x018578,,,,5
0x5C22DD,scalar,,,1,,1,0,FUN_00013d64@0x013D64 FUN_00014414@0x014414 FUN_000144c4@0x0144C4 cand_tpu_param_scan@0x014604,,static,enumerate_maps.py; direct load; 9 call site(s): 0x013F7C 0x01403C 0x014260 0x0142D8 0x014440 0x0144D8 ...,,,,9
0x5C22E0,scalar,,,1,,4,0,FUN_000144c4@0x0144C4 FUN_00014ad8@0x014AD8 FUN_00015068@0x015068 FUN_00018488@0x018488 ...,,static,enumerate_maps.py; direct load; 5 call site(s): 0x0144CC 0x0149A4 0x014AE4 0x015084 0x0184A8,,,,5
0x5C22E4,scalar,,,1,,4,0,FUN_00015068@0x015068,,static,enumerate_maps.py; direct load; 1 call site(s): 0x015138,,,,1
0x5C22E8,scalar,,,1,,1,0,FUN_000131b4@0x0131B4,,static,enumerate_maps.py; direct load; 1 call site(s): 0x0131D4,,,,1
0x5C22E9,scalar,,,1,,1,0,FUN_00014ad8@0x014AD8 FUN_000172d8@0x0172D8 FUN_00017a84@0x017A84 FUN_00017b34@0x017B34,,static,enumerate_maps.py; direct load; 4 call site(s): 0x014B8C 0x0175A0 0x017A8C 0x017B70,,,,4
0x5C22EA,scalar,,,1,,1,0,FUN_00014ad8@0x014AD8 FUN_00016898@0x016898 FUN_000172d8@0x0172D8 FUN_0001774c@0x01774C ...,,static,enumerate_maps.py; direct load; 7 call site(s): 0x014B60 0x0168A0 0x01757C 0x01775C 0x017A1C 0x017A30 ...,,,,7
0x5C2453,scalar,,,1,,1,0,FUN_00016b28@0x016B28,,static,enumerate_maps.py; direct load; 1 call site(s): 0x016B28,,,,1
0x5C2458,scalar,,,1,,2,0,FUN_00015d9c@0x015D9C,,static,enumerate_maps.py; direct load; 1 call site(s): 0x015EDC,,,,1
0x5C2468,scalar,,,1,,1,0,FUN_00016bf0@0x016BF0,,static,enumerate_maps.py; direct load; 1 call site(s): 0x017284,,,,1
0x5C246C,scalar,,,1,,4,0,FUN_0001538c@0x01538C,,static,enumerate_maps.py; direct load; 1 call site(s): 0x0153E4,,,,1
0x5C2470,scalar,,,1,,4,0,FUN_000139c0@0x0139C0,,static,enumerate_maps.py; direct load; 1 call site(s): 0x013A14,,,,1
0x5C2504,scalar,,,1,,4,0,FUN_000185e0@0x0185E0,,static,enumerate_maps.py; direct load; 1 call site(s): 0x0185FC,,,,1
0x5C258C,scalar,,,1,,4,0,FUN_00017e14@0x017E14,,static,enumerate_maps.py; direct load; 1 call site(s): 0x017EE8,,,,1
0x5C2590,scalar,,,1,,1,0,FUN_00017e14@0x017E14,,static,enumerate_maps.py; direct load; 1 call site(s): 0x017E38,,,,1
0x5C2591,scalar,,,1,,1,0,FUN_00017e14@0x017E14,,static,enumerate_maps.py; direct load; 1 call site(s): 0x017E58,,,,1
0x5C2592,scalar,,,1,,1,0,FUN_00017e14@0x017E14,,static,enumerate_maps.py; direct load; 1 call site(s): 0x017E78,,,,1
0x5C2593,scalar,,,1,,1,0,FUN_00017e14@0x017E14,,static,enumerate_maps.py; direct load; 1 call site(s): 0x017E98,,,,1
0x5C2594,scalar,,,1,,1,0,FUN_00017e14@0x017E14,,static,enumerate_maps.py; direct load; 1 call site(s): 0x017EB8,,,,1
0x5C2598,scalar,,,1,,4,0,FUN_0001814c@0x01814C,,static,enumerate_maps.py; direct load; 1 call site(s): 0x01814C,,,,1
0x5C259C,scalar,,,1,,2,0,FUN_000131b4@0x0131B4,,static,enumerate_maps.py; direct load; 2 call site(s): 0x0132DC 0x01373C,,,,2
0x5C259E,scalar,,,1,,2,0,FUN_000131b4@0x0131B4,,static,enumerate_maps.py; direct load; 3 call site(s): 0x01322C 0x01361C 0x013764,,,,3
0x5C25A0,scalar,,,1,,2,0,FUN_000131b4@0x0131B4,,static,enumerate_maps.py; direct load; 4 call site(s): 0x01323C 0x013360 0x013610 0x013778,,,,4
0x5C25A2,scalar,,,1,,2,0,FUN_000131b4@0x0131B4,,static,enumerate_maps.py; direct load; 1 call site(s): 0x013534,,,,1
0x5C25A4,scalar,,,1,,2,0,FUN_000131b4@0x0131B4,,static,enumerate_maps.py; direct load; 4 call site(s): 0x0135B8 0x0135D8 0x0135E8 0x0135F8,,,,4
