addr,kind,x_axis_addr,y_axis_addr,x_n,y_n,elem_size,signed,consumer_func,name_or_blank,confidence,evidence,x_elem,y_elem,struct_addr,sites,unit,scale,offset,x_unit,x_scale,x_offset,y_unit,y_scale,y_offset,scale_confidence,fr_module,fr_page,description,name,name_confidence,name_evidence
0x5E2518,scalar,,,1,,2,0,"ff_fuel (patch, not in the stock image)",ff_version,hypothesis,docs/05_flexfuel_design.md section 4,,,,,-,,,,,,,,,hypothesis,FFCAL,,Version of the FFCAL001 block header,ff_version,hypothesis,"HYPOTHESIS layout, brief D3 (#41) from docs/05_flexfuel_design.md section 4. Brief D1 (#42) owns the real FFCAL001 descriptor and delivers it as patches/ff_fuel/ffcal001_rows.csv; replace this file with that one at merge time. The block does not exist in data/passat_azx_ori.bin - 0x5E2510 upwards is erased (0xFF), see re/findings/calibration_maps.md section 6 - so every cell reads 255 until a patched image is loaded"
0x5E251A,scalar,,,1,,2,0,"ff_fuel (patch, not in the stock image)",ff_length,hypothesis,docs/05_flexfuel_design.md section 4,,,,,-,,,,,,,,,hypothesis,FFCAL,,Length of the FFCAL001 block in bytes,ff_length,hypothesis,"HYPOTHESIS layout, brief D3 (#41) from docs/05_flexfuel_design.md section 4. Brief D1 (#42) owns the real FFCAL001 descriptor and delivers it as patches/ff_fuel/ffcal001_rows.csv; replace this file with that one at merge time. The block does not exist in data/passat_azx_ori.bin - 0x5E2510 upwards is erased (0xFF), see re/findings/calibration_maps.md section 6 - so every cell reads 255 until a patched image is loaded"
0x5E251C,scalar,,,1,,2,0,"ff_fuel (patch, not in the stock image)",ff_can_id,hypothesis,docs/05_flexfuel_design.md section 4,,,,,-,,,,,,,,,hypothesis,FFCAL,,"CAN identifier the ethanol sensor frame is received on, 0x0EC by default",ff_can_id,hypothesis,"HYPOTHESIS layout, brief D3 (#41) from docs/05_flexfuel_design.md section 4. Brief D1 (#42) owns the real FFCAL001 descriptor and delivers it as patches/ff_fuel/ffcal001_rows.csv; replace this file with that one at merge time. The block does not exist in data/passat_azx_ori.bin - 0x5E2510 upwards is erased (0xFF), see re/findings/calibration_maps.md section 6 - so every cell reads 255 until a patched image is loaded"
0x5E251E,scalar,,,1,,2,0,"ff_fuel (patch, not in the stock image)",ff_timeout_ms,hypothesis,docs/05_flexfuel_design.md section 4,,,,,ms,1,,,,,,,,hypothesis,FFCAL,,Age at which the ethanol reading is declared stale and the factor falls back to E0,ff_timeout_ms,hypothesis,"HYPOTHESIS layout, brief D3 (#41) from docs/05_flexfuel_design.md section 4. Brief D1 (#42) owns the real FFCAL001 descriptor and delivers it as patches/ff_fuel/ffcal001_rows.csv; replace this file with that one at merge time. The block does not exist in data/passat_azx_ori.bin - 0x5E2510 upwards is erased (0xFF), see re/findings/calibration_maps.md section 6 - so every cell reads 255 until a patched image is loaded"
0x5E2520,scalar,,,1,,2,0,"ff_fuel (patch, not in the stock image)",ff_hold_s,hypothesis,docs/05_flexfuel_design.md section 4,,,,,s,1,,,,,,,,hypothesis,FFCAL,,How long the last good ethanol reading is held after a timeout,ff_hold_s,hypothesis,"HYPOTHESIS layout, brief D3 (#41) from docs/05_flexfuel_design.md section 4. Brief D1 (#42) owns the real FFCAL001 descriptor and delivers it as patches/ff_fuel/ffcal001_rows.csv; replace this file with that one at merge time. The block does not exist in data/passat_azx_ori.bin - 0x5E2510 upwards is erased (0xFF), see re/findings/calibration_maps.md section 6 - so every cell reads 255 until a patched image is loaded"
0x5E2522,scalar,,,1,,2,0,"ff_fuel (patch, not in the stock image)",ff_filter_k,hypothesis,docs/05_flexfuel_design.md section 4,,,,,-,,,,,,,,,hypothesis,FFCAL,,Coefficient of the ethanol-content filter,ff_filter_k,hypothesis,"HYPOTHESIS layout, brief D3 (#41) from docs/05_flexfuel_design.md section 4. Brief D1 (#42) owns the real FFCAL001 descriptor and delivers it as patches/ff_fuel/ffcal001_rows.csv; replace this file with that one at merge time. The block does not exist in data/passat_azx_ori.bin - 0x5E2510 upwards is erased (0xFF), see re/findings/calibration_maps.md section 6 - so every cell reads 255 until a patched image is loaded"
0x5E2524,scalar,,,1,,2,0,"ff_fuel (patch, not in the stock image)",ff_slew,hypothesis,docs/05_flexfuel_design.md section 4,,,,,-,,,,,,,,,hypothesis,FFCAL,,Maximum change of the ethanol content per update,ff_slew,hypothesis,"HYPOTHESIS layout, brief D3 (#41) from docs/05_flexfuel_design.md section 4. Brief D1 (#42) owns the real FFCAL001 descriptor and delivers it as patches/ff_fuel/ffcal001_rows.csv; replace this file with that one at merge time. The block does not exist in data/passat_azx_ori.bin - 0x5E2510 upwards is erased (0xFF), see re/findings/calibration_maps.md section 6 - so every cell reads 255 until a patched image is loaded"
0x5E2526,curve_1d,,,17,,2,0,"ff_fuel (patch, not in the stock image)",ff_F_curve,hypothesis,docs/05_flexfuel_design.md section 4,,,,,-,1/1024,,,,,,,,hypothesis,FFCAL,,"Fuel factor over ethanol content: 17 points at 0, 6.25, ... 100 % E, 1024 = 1.0 (bit-identical to stock at E0). The breakpoints are implicit, so the axis shows indices 0..16",ff_F_curve,hypothesis,"HYPOTHESIS layout, brief D3 (#41) from docs/05_flexfuel_design.md section 4. Brief D1 (#42) owns the real FFCAL001 descriptor and delivers it as patches/ff_fuel/ffcal001_rows.csv; replace this file with that one at merge time. The block does not exist in data/passat_azx_ori.bin - 0x5E2510 upwards is erased (0xFF), see re/findings/calibration_maps.md section 6 - so every cell reads 255 until a patched image is loaded"
0x5E2548,curve_1d,,,17,,1,0,"ff_fuel (patch, not in the stock image)",ff_fzw_curve,hypothesis,docs/05_flexfuel_design.md section 4,,,,,-,1/256,,,,,,,,hypothesis,FFCAL,,"Weight of the ignition offset over ethanol content, same implicit 17-point axis, 256 = 1.0",ff_fzw_curve,hypothesis,"HYPOTHESIS layout, brief D3 (#41) from docs/05_flexfuel_design.md section 4. Brief D1 (#42) owns the real FFCAL001 descriptor and delivers it as patches/ff_fuel/ffcal001_rows.csv; replace this file with that one at merge time. The block does not exist in data/passat_azx_ori.bin - 0x5E2510 upwards is erased (0xFF), see re/findings/calibration_maps.md section 6 - so every cell reads 255 until a patched image is loaded"
0x5E2559,map_2d_data,,,8,8,1,1,"ff_fuel (patch, not in the stock image)",ff_dzw_map,hypothesis,docs/05_flexfuel_design.md section 4,,,,,degCA,0.75,,,,,,,,hypothesis,FFCAL,,"Ethanol ignition advance over engine speed and relative charge, s8 at the 0.75 degCA per LSB of the whole ignition chain. Positive is advance; keep it inside the KFZWOP - KFZW gap (re/findings/ignition.md section 12)",ff_dzw_map,hypothesis,"HYPOTHESIS layout, brief D3 (#41) from docs/05_flexfuel_design.md section 4. Brief D1 (#42) owns the real FFCAL001 descriptor and delivers it as patches/ff_fuel/ffcal001_rows.csv; replace this file with that one at merge time. The block does not exist in data/passat_azx_ori.bin - 0x5E2510 upwards is erased (0xFF), see re/findings/calibration_maps.md section 6 - so every cell reads 255 until a patched image is loaded"
