site,helper,helper_addr,kind,addr,x_axis_addr,y_axis_addr,x_n,y_n,elem_size,signed,consumer_func,confidence,note
0x04A08C,axis_search_u8,0x40C578,axis,0x5D3416,0x5D3416,,2,,1,0,FUN_0004a070@0x04A070,static,
0x04AB0C,axis_search_u8,0x40C578,axis,0x5D3416,0x5D3416,,2,,1,0,FUN_0004aaf0@0x04AAF0,static,
0x05467C,axis_search_u8,0x40C578,axis,0x5C5435,0x5C5435,,5,,1,0,FUN_00054654@0x054654,static,
0x05482C,axis_search_u8,0x40C578,axis,0x5CEE0C,0x5CEE0C,,5,,1,0,FUN_00054810@0x054810,static,
0x054840,axis_search_u8,0x40C578,axis,0x5CEE07,0x5CEE07,,4,,1,0,FUN_00054810@0x054810,static,
0x059260,axis_search_u8,0x40C578,axis,0x5D3841,0x5D3841,,9,,1,0,FUN_00059248@0x059248,static,
0x0BDBBC,axis_search_u8,0x40C578,axis,0x5C8884,0x5C8884,,6,,1,0,FUN_000bdb58@0x0BDB58,static,
0x0BDC34,axis_search_u8,0x40C578,axis,0x5C887B,0x5C887B,,8,,1,0,FUN_000bdb58@0x0BDB58,static,
0x0C4A1C,axis_search_u8,0x40C578,axis,0x5C542F,0x5C542F,,5,,1,0,FUN_000c4968@0x0C4968,static,
0x0C79A4,axis_search_u8,0x40C578,axis,0x5D7CE1,0x5D7CE1,,4,,1,0,FUN_000c7958@0x0C7958,static,
0x0E8E04,axis_search_u8,0x40C578,axis,0x5D3839,0x5D3839,,7,,1,0,FUN_000e8de4@0x0E8DE4,static,
0x0F44F8,axis_search_u8,0x40C578,axis,0x5D611E,0x5D611E,,4,,1,0,FUN_000f44d8@0x0F44D8,static,
0x0F8650,axis_search_u8,0x40C578,axis,0x5D716B,0x5D716B,,8,,1,0,FUN_000f8608@0x0F8608,static,
0x0F8664,axis_search_u8,0x40C578,axis,0x5D7187,0x5D7187,,9,,1,0,FUN_000f8608@0x0F8608,static,
0x0F867C,axis_search_u8,0x40C578,axis,0x5D7162,0x5D7162,,8,,1,0,FUN_000f8608@0x0F8608,static,
0x0F8690,axis_search_u8,0x40C578,axis,0x5D717D,0x5D717D,,9,,1,0,FUN_000f8608@0x0F8608,static,
0x0FB9EC,axis_search_u8,0x40C578,axis,0x5D7934,0x5D7934,,4,,1,0,FUN_000fb974@0x0FB974,static,
0x1012F0,axis_search_u8,0x40C578,axis,0x5CEDFE,0x5CEDFE,,8,,1,0,FUN_00101274@0x101274,static,
0x115AF8,axis_search_u8,0x40C578,axis,0x5D7955,0x5D7955,,6,,1,0,FUN_00115ae0@0x115AE0,static,
0x115B0C,axis_search_u8,0x40C578,axis,0x5D795C,0x5D795C,,8,,1,0,FUN_00115ae0@0x115AE0,static,
