cpu_addr,file_off,space,kind,name,size,evidence,confidence,source,notes
0x000100,0x000100,ext_flash,thunk,reset_vector,0x4,ghidra passat_azx_ori.bin 2026-09-15 @000100,static,ghidra,"classic 0x100-spaced layout, used only when RCW[IP]=0; that layout is incomplete (file 0x500, the external-interrupt vector, is zero) - the live table is the ETR one at 0x0"
0x00049C,0x00049C,ext_flash,thunk,boot_trampoline,0x4,ghidra passat_azx_ori.bin 2026-09-15 @00049C,static,ghidra,VERIFIED-STATIC -- evidence: b 0x1004 (source: dump)
0x001004,0x001004,ext_flash,func,boot_start,0xF4,ghidra passat_azx_ori.bin 2026-09-15 @001004,static,ghidra,r1=0x7FEFFC r13=0x7FFFF0 r2=0x17FF0
0x0010F8,0x0010F8,ext_flash,func,FUN_000010f8,0x20,ghidra passat_azx_ori.bin 2026-09-15 @0010F8,hypothesis,ghidra,
0x001118,0x001118,ext_flash,func,boot_bbcmcr_setup,0xC0,ghidra passat_azx_ori.bin 2026-09-15 @001118,static,ghidra,BBCMCR: only DCAE set; ETRE/OERC left at reset-configuration-word values
0x0011D8,0x0011D8,ext_flash,func,FUN_000011d8,0x30,ghidra passat_azx_ori.bin 2026-09-15 @0011D8,hypothesis,ghidra,
0x001228,0x001228,ext_flash,func,FUN_00001228,0x60,ghidra passat_azx_ori.bin 2026-09-15 @001228,hypothesis,ghidra,
0x010EF8,0x010EF8,ext_flash,func,FUN_00010ef8,0xF4,ghidra passat_azx_ori.bin 2026-09-15 @010EF8,hypothesis,ghidra,
0x010FEC,0x010FEC,ext_flash,func,decram_routine_a_src,0xE4,ghidra passat_azx_ori.bin 2026-09-15 @010FEC,static,ghidra,first of the two DECRAM-resident routines
0x0110D0,0x0110D0,ext_flash,func,boot_swsr_service,0x20,ghidra passat_azx_ori.bin 2026-09-15 @0110D0,static,ghidra,"VERIFIED-STATIC (B1, issue #8, 2026-09-15). Watchdog service: writes 0x556C then 0xAA39 to SWSR (0x6FC00E). Called through mtlr/blrl from boot_main_init at 0x12480, 0x12538 and 0x125C0."
0x0110F0,0x0110F0,ext_flash,func,fatal_exception_handler,0x28,ghidra passat_azx_ori.bin 2026-09-15 @0110F0,static,ghidra,target of unused exception vectors
0x011118,0x011118,ext_flash,func,decram_flashcs_routine_src,0x238,ghidra passat_azx_ori.bin 2026-09-15 @011118,static,ghidra,accesses CS2 device 0x900000
0x011350,0x011350,ext_flash,func,decram_routine_c_src,0x1D4,ghidra passat_azx_ori.bin 2026-09-15 @011350,static,ghidra,"VERIFIED-STATIC (B1, issue #8, 2026-09-15). Third DECRAM-resident routine, 0x1D4 bytes, copied to 0x6F8000 by the loop at 0x12F78-0x12F80 and called at 0x12F84. emulation_boot_path.md section 4 lists only the two at 0x10FEC and 0x11118."
0x011524,0x011524,ext_flash,func,FUN_00011524,0xB8,ghidra passat_azx_ori.bin 2026-09-15 @011524,hypothesis,ghidra,
0x0115DC,0x0115DC,ext_flash,func,boot_pll_setup,0x120,ghidra passat_azx_ori.bin 2026-09-15 @0115DC,static,ghidra,emulated 2026-09-15: stalls here without a PLPRCR stub
0x0116FC,0x0116FC,ext_flash,func,boot_pll_lock_wait,0x10C,ghidra passat_azx_ori.bin 2026-09-15 @0116FC,dynamic,ghidra,first unmodelled peripheral value in the boot path (emu/boot_trace.py)
0x011808,0x011808,ext_flash,func,FUN_00011808,0x90,ghidra passat_azx_ori.bin 2026-09-15 @011808,hypothesis,ghidra,
0x011898,0x011898,ext_flash,func,ext_sram_probe,0x28,ghidra passat_azx_ori.bin 2026-09-15 @011898,static,ghidra,"VERIFIED-STATIC sizes the CS1 external SRAM by writing 0x5AA53CC3 at 0x800000 and 0xA55AC33C at 0x808000 and checking for aliasing; result 0x41 (32 KB) or 0x44 (64 KB) in 0x7F8012. It SAVES and RESTORES both words, i.e. the firmware treats external SRAM as retained. B4 #18, re/findings/eeprom.md 6"
0x0118C0,0x0118C0,ext_flash,func,boot_ram_probe,0xC0,ghidra passat_azx_ori.bin 2026-09-15 @0118C0,static,ghidra,external SRAM size/alias probe; the emulator reports 0x808000 as unmapped
0x011980,0x011980,ext_flash,func,FUN_00011980,0x80,ghidra passat_azx_ori.bin 2026-09-15 @011980,hypothesis,ghidra,
0x011A00,0x011A00,ext_flash,func,FUN_00011a00,0xE0,ghidra passat_azx_ori.bin 2026-09-15 @011A00,hypothesis,ghidra,
0x011AE0,0x011AE0,ext_flash,func,FUN_00011ae0,0x1D4,ghidra passat_azx_ori.bin 2026-09-15 @011AE0,hypothesis,ghidra,
0x011CE0,0x011CE0,ext_flash,func,FUN_00011ce0,0x78,ghidra passat_azx_ori.bin 2026-09-15 @011CE0,hypothesis,ghidra,
0x011D58,0x011D58,ext_flash,func,FUN_00011d58,0x78,ghidra passat_azx_ori.bin 2026-09-15 @011D58,hypothesis,ghidra,
0x011DD0,0x011DD0,ext_flash,func,FUN_00011dd0,0x44,ghidra passat_azx_ori.bin 2026-09-15 @011DD0,hypothesis,ghidra,
0x011E14,0x011E14,ext_flash,func,FUN_00011e14,0x30,ghidra passat_azx_ori.bin 2026-09-15 @011E14,hypothesis,ghidra,
0x011E44,0x011E44,ext_flash,func,boot_or_adjust,0x14,ghidra passat_azx_ori.bin 2026-09-15 @011E44,static,ghidra,VERIFIED-STATIC -- evidence: lbz 0x7FE9E8(r13-0x1608); rlwinm clears bit 8 of OR value (source: dump)
0x011E58,0x011E58,ext_flash,func,FUN_00011e58,0x110,ghidra passat_azx_ori.bin 2026-09-15 @011E58,hypothesis,ghidra,
0x011F68,0x011F68,ext_flash,func,FUN_00011f68,0x12C,ghidra passat_azx_ori.bin 2026-09-15 @011F68,hypothesis,ghidra,
0x012004,0x012004,ext_flash,func,boot_memctrl_init,0x148,ghidra passat_azx_ori.bin 2026-09-15 @012004,static,ghidra,BR0=0x000000|0x103/0x90B; BR1=0x800000|0x403; BR2=0x900000|0x823; BR3=0xA00000|3; OR tables at file 0x10020-0x1009C
0x0121DC,0x0121DC,ext_flash,func,FUN_000121dc,0x30,ghidra passat_azx_ori.bin 2026-09-15 @0121DC,hypothesis,ghidra,
0x01220C,0x01220C,ext_flash,func,FUN_0001220c,0x48,ghidra passat_azx_ori.bin 2026-09-15 @01220C,hypothesis,ghidra,
0x012254,0x012254,ext_flash,func,FUN_00012254,0x5C,ghidra passat_azx_ori.bin 2026-09-15 @012254,hypothesis,ghidra,
