var_id,ram_addr,size,name_or_blank,scaling_or_blank,evidence
1,0x7fce95,1,cand_mw_nmot,fmt=0x01 A=0xc8,handler 0x3915c; grp 001.1 engine speed [COMMUNITY] + fmt 0x01 A=0xC8 -> 40 rpm/LSB; tools/measuring_vars.py
2,0x7fef74,1,cand_mw_rl,fmt=0x21 A=0x85,handler 0x3916c; grp 002.2 engine load [COMMUNITY] + fmt 0x21 A=0x85 -> %; tools/measuring_vars.py
3,0x80303a,2,,fmt=0x21 A=0x11,handler 0x3917c; tools/measuring_vars.py
4,0x803030,2,,fmt=0x21 A=0x11,handler 0x39184; tools/measuring_vars.py
7,0x7fcfeb,1,,fmt=0x21 A=0xff,handler 0x3918c; tools/measuring_vars.py
8,0x8035e6,2,,fmt=0x21 A=0xff,handler 0x391a8; tools/measuring_vars.py
9,0x7fef87,1,,fmt=0x1b A=0x4b,handler 0x391c4; tools/measuring_vars.py
10,0x7fefa2,2,cand_mw_ml,fmt=0x19,handler 0x391dc; grp 003.2 mass air flow [COMMUNITY] + fmt 0x19 -> g/s; tools/measuring_vars.py
13,0x8021ef,1,,fmt=0x10 A=0xff,"handler 0x3920c; also reads 0x7fce95/1,0x7fcfeb/1,0x7fd1dd/1,0x7fecbf/1,0x7fe874/1,0x801a75/1+more; tools/measuring_vars.py"
14,0x7fce96,1,cand_mw_nmot_fine,fmt=0x01 A=0x32,handler 0x392e8; grp 050.1 [HYPOTHESIS] + fmt 0x01 A=0x32 -> 10 rpm/LSB; RAM byte adjacent to id 1; tools/measuring_vars.py
15,0x802529,1,cand_mw_nsoll,fmt=0x01 A=0x32,handler 0x392f8; grp 050.2 idle speed setpoint [HYPOTHESIS] + fmt 0x01 A=0x32; tools/measuring_vars.py
16,0x803594,2,,fmt=0x34,handler 0x39308; tools/measuring_vars.py
17,0x7fd472,1,,fmt=0x21 A=0xff,handler 0x3935c; tools/measuring_vars.py
18,0x803598,2,,fmt=0x21 A=0xff,handler 0x39378; tools/measuring_vars.py
19,0x8035a4,2,,fmt=0x14 A=0x19,handler 0x39394; tools/measuring_vars.py
20,0x7fe874,1,,fmt=0x10 A=0x3f,"handler 0x393dc; also reads 0x80223a/1,0x7fe877/1,0x7fd0b6/1; tools/measuring_vars.py"
21,0x8035f4,2,,fmt=0x21 A=0xff,handler 0x3945c; tools/measuring_vars.py
22,0x803600,2,,fmt=0x21 A=0xff,handler 0x39478; tools/measuring_vars.py
25,0x802257,1,,fmt=0x07 A=0x7d,handler 0x39494; tools/measuring_vars.py
28,0x802e00,2,,fmt=0x14 A=0x32,handler 0x394a4; tools/measuring_vars.py
29,0x802df8,2,,fmt=0x14 A=0x32,handler 0x394f8; tools/measuring_vars.py
31,0x801e5a,2,,fmt=0x14 A=0x0c,handler 0x3954c; tools/measuring_vars.py
32,0x801e48,2,,fmt=0x14 A=0x0c,handler 0x39594; tools/measuring_vars.py
33,0x801e36,2,,fmt=0x14 A=0x32,handler 0x395dc; tools/measuring_vars.py
34,0x801e28,2,,fmt=0x14 A=0x32,handler 0x39630; tools/measuring_vars.py
39,0x803010,2,,fmt=0x42 A=0x0a,handler 0x39684; tools/measuring_vars.py
40,0x80300a,2,,fmt=0x42 A=0x0a,handler 0x396c4; tools/measuring_vars.py
41,0x802fea,2,,fmt=0x1f A=0x14,handler 0x39704; tools/measuring_vars.py
42,0x802fe8,2,,fmt=0x1f A=0x14,handler 0x39730; tools/measuring_vars.py
43,0x80304a,2,,fmt=0x1f A=0x14,handler 0x3975c; tools/measuring_vars.py
44,0x803048,2,,fmt=0x1f A=0x14,handler 0x39788; tools/measuring_vars.py
45,0x802bea,2,,fmt=0x1f A=0x14,handler 0x397b4; tools/measuring_vars.py
46,0x802be8,2,,fmt=0x1f A=0x14,handler 0x397e0; tools/measuring_vars.py
47,0x7fd1dd,1,,fmt=0x10 A=0x1f,"handler 0x3980c; also reads 0x7fd1b2/1,0x80150c/1,0x801cd4/1; tools/measuring_vars.py"
