start,end,r13_read,r13_write,r13_addr,abs_read,abs_write,abs_addr,ptr_words,ptr_cal,init_bytes,known,free_candidate
0x7F8000,0x7F801F,76,72,0,52,17,19,1,0,0,ext_sram_size_code,0
0x7F8020,0x7F803F,60,149,0,27,0,75,0,0,20,crt0_bss_clear_1,0
0x7F8040,0x7F805F,28,33,5,24,18,0,0,0,32,crt0_bss_clear_1,0
0x7F8060,0x7F807F,0,0,0,2,3,1,0,0,28,crt0_bss_clear_1,0
0x7F8080,0x7F809F,0,0,0,0,0,77,0,0,32,crt0_bss_clear_2,0
0x7F80A0,0x7F80BF,127,126,8,0,0,0,0,0,32,crt0_bss_clear_2,0
0x7F80C0,0x7F80DF,32,10,2,0,0,0,0,0,32,crt0_bss_clear_2,0
0x7F80E0,0x7F80FF,144,120,0,0,0,3,0,0,24,crt0_bss_clear_2,0
0x7F8100,0x7F811F,50,42,0,0,0,1,0,3,28,,0
0x7F8120,0x7F813F,63,41,0,0,0,0,0,0,32,,0
0x7F8140,0x7F815F,104,70,0,0,0,0,0,0,32,,0
0x7F8160,0x7F817F,1239,1035,1,0,0,0,0,0,32,,0
0x7F8180,0x7F819F,676,592,0,0,0,0,0,0,32,,0
0x7F81A0,0x7F81BF,61,65,0,0,0,0,0,0,32,,0
0x7F81C0,0x7F81DF,100,117,10,0,0,0,0,0,32,,0
0x7F81E0,0x7F81FF,82,100,8,0,0,0,1,0,32,,0
0x7F8200,0x7F821F,126,34,3,0,0,0,0,0,32,,0
0x7F8220,0x7F823F,36,35,0,0,0,1,0,1,19,,0
0x7F8240,0x7F825F,24,70,0,0,0,0,0,0,0,,0
0x7F8260,0x7F827F,45,61,0,0,0,0,0,0,0,,0
0x7F8280,0x7F829F,21,64,0,0,0,0,0,0,0,,0
0x7F82A0,0x7F82BF,20,65,0,0,0,0,0,0,0,,0
0x7F82C0,0x7F82DF,29,83,0,0,0,0,0,0,0,,0
0x7F82E0,0x7F82FF,46,86,1,0,0,0,0,0,0,,0
0x7F8300,0x7F831F,46,51,6,0,0,0,0,0,0,,0
0x7F8320,0x7F833F,20,56,0,0,0,0,0,0,0,,0
0x7F8340,0x7F835F,57,94,1,0,0,0,0,0,0,,0
0x7F8360,0x7F837F,0,0,4,0,0,0,1,2,0,,0
0x7F8380,0x7F839F,155,31,1,0,0,0,0,0,0,,0
0x7F83A0,0x7F83BF,60,12,4,0,0,0,0,0,0,,0
0x7F83C0,0x7F83DF,0,0,2,0,0,0,0,0,0,,0
0x7F83E0,0x7F83FF,14,36,4,0,0,0,0,0,0,,0
